MonthlyRes_Mean_RN_ERA_Residuals,MonthlyRes_Mean_SM_GLEAM_Residuals,T_CRU_Residuals,P_CRU_Residuals
-0.3254,-0.049393,1.6075,-3.3442
0.17749,-0.018541,0.09713,-7.7178
-2.1359,-0.021207,1.2666,1.3239
-2.2318,-0.023571,-0.16259,-2.1504
1.5061,-0.019846,-1.2452,-2.0616
6.6763,0.014735,-2.0223,-0.38378
-1.6661,0.012793,-1.6855,1.4023
2.9094,-0.005502,2.2957,-6.4004
-2.2977,-0.021614,2.652,-16.11
-4.719,-0.034448,2.661,-41.304
-5.5952,-0.03609,0.93324,15.588
-4.1762,0.019699,0.46796,25.425
-4.3949,0.019635,0.11927,4.9317
-0.30335,-0.009819,1.2061,-5.4322
1.2864,-0.033521,2.3873,-7.985
-13.376,0.020778,0.92413,13.346
-1.8493,-0.000382,2.0332,-3.3107
1.5312,0.018595,-0.99601,4.19
-8.4454,0.016602,-0.62865,12.904
5.6868,0.010273,-0.71129,4.5726
1.0031,-0.001487,-0.006426,-3.6697
3.2778,-0.014854,1.0526,14.162
7.4621,0.001572,-0.22518,53.903
-3.6462,-0.000936,0.40955,-10.134
0.52221,-0.031018,0.58585,-16.453
-9.7151,-0.029058,0.59766,-1.4668
-3.7517,0.024982,-0.42109,20.93
0.92058,-0.015992,-0.25929,2.4867
-0.83785,-0.021723,0.19974,-1.0453
-3.5222,-0.011622,1.4206,-4.7196
-5.8251,-0.004655,0.68793,-4.5807
-2.2695,0.004695,-0.8447,-2.8869
4.1091,-0.018968,0.23516,-13.179
-4.5127,-0.043889,1.0942,-8.523
4.7533,-0.038424,1.7164,-29.806
-2.4392,-0.05001,2.2511,38.281
1.1532,-0.009702,1.1524,18.938
2.9112,0.01593,0.81424,5.5987
1.9295,-0.018767,1.1455,-6.4041
-2.446,0.016261,-1.0177,-0.47287
3.3217,-0.011797,-0.10868,-0.62982
1.4057,0.003305,-0.91284,2.2959
-3.8621,0.035705,-3.4455,16.01
5.6311,-0.00271,-0.82812,-3.5215
7.4786,-0.011017,-0.69826,-10.414
0.45769,-0.03803,1.1608,-37.083
-2.2002,-0.049364,0.50799,-23.866
0.1336,-0.049113,2.2177,-9.5284
-3.678,0.045168,-1.181,39.228
-0.093633,0.070439,1.1058,-0.3109
-6.0482,0.079334,1.8371,7.3613
1.5102,-0.03437,-0.12612,3.7926
2.9109,-0.037029,-1.0921,-6.9644
0.58552,-0.028588,0.25374,-0.93868
6.0064,-0.020219,-0.2539,-6.0248
0.033885,-0.010646,0.96346,5.244
-3.5187,0.033238,-1.3067,39.652
7.1412,0.031474,-0.64765,-29.342
-3.0941,0.044598,-0.47543,72.325
5.1202,0.014731,-0.5657,-16.788
-0.10974,0.031979,-0.4144,17.993
0.98513,0.012065,0.62241,-2.5455
1.9923,-0.009105,-0.47134,-8.1232
-4.7359,0.067079,-2.1345,7.808
1.7955,0.058682,-1.4505,1.1511
-5.2369,0.055204,0.045323,5.3768
-0.52185,0.024646,-0.21232,2.0406
0.44133,0.003314,-0.29496,-8.0156
2.1497,-0.008976,-1.1901,-11.233
-1.4173,-0.02086,-0.48107,4.2233
6.4756,-0.007428,0.96616,-18.685
1.3207,0.016966,-0.42412,2.5775
0.59642,-0.010559,-0.97282,3.4089
-2.5973,0.007513,-1.086,9.07
-4.6876,0.0302,-1.0798,9.7172
1.9571,-0.027709,0.25704,-6.0766
-0.36557,-0.010173,1.2911,-3.1335
-2.6027,-0.019304,0.28691,1.0922
-7.1416,-0.016157,2.3793,-4.1189
0.21238,-0.016742,-0.078372,9.5498
-9.9392,0.022337,-1.6735,38.532
4.6418,0.067986,-1.6145,14.314
-2.234,0.015765,0.082739,-13.92
7.9005,-0.004965,-0.58254,-5.4821
-1.2985,0.00634,1.0938,-11.576
0.71067,0.001569,-0.44443,-4.8146
-2.9569,0.024546,0.11182,13.533
3.3616,0.011491,-0.95137,-5.4861
1.2459,-0.011464,-1.1173,-4.6431
3.68,0.008226,-2.5965,-0.34236
-10.956,0.024617,-3.3292,10.397
-0.93571,0.025784,-2.7868,5.8903
0.53936,0.00605,-1.1569,13.898
2.8165,-0.021316,0.0271,-19.571
