MonthlyRes_Mean_RN_ERA_Residuals,MonthlyRes_Mean_SM_GLEAM_Residuals,T_CRU_Residuals,P_CRU_Residuals
-0.19422,-0.045902,-0.5923,-16.09
3.8725,0.021581,-0.768,-3.8479
-9.619,0.01045,-0.53953,114.87
1.8264,0.034282,1.3966,-10.753
0.62984,0.021668,0.97158,-15.169
0.42873,0.01481,-0.24022,-7.2819
-1.2621,-0.002312,1.5091,-9.0986
0.23437,-0.029675,0.43895,1.3937
2.1255,0.02239,0.22992,-2.6611
-1.3479,0.019609,0.87992,-2.6611
3.7258,0.018929,-0.80064,-2.6611
1.7713,0.019951,-0.78536,-2.6611
-0.43086,0.030583,-0.058325,-1.9603
0.090621,0.00402,0.56598,-10.527
4.2124,-0.033017,2.1708,-15.16
-1.6369,-0.051503,1.6146,25.832
-4.2282,-0.056923,0.56737,23.047
1.0777,-0.002509,1.2535,-8.6818
4.3072,-0.000654,0.078481,-21.098
0.10381,0.048065,-1.2111,-4.3762
1.2846,0.037766,-1.3382,-2.4894
-1.5058,0.063433,-0.28819,-2.4894
-1.3625,0.063213,-0.11874,-2.4894
-0.70975,0.045004,0.54654,-2.4894
-1.0512,0.016974,-0.20143,8.9614
4.6084,-0.002759,-2.2021,20.345
0.76607,-0.010706,-2.1723,-5.6879
-1.7955,-0.058447,0.64649,59.179
-4.057,-0.036852,-2.7507,7.3934
-1.6565,0.025352,-1.4396,8.5649
3.3263,0.011453,1.2104,-10.276
-0.37513,0.016214,1.0458,6.7204
-0.4011,0.018832,-0.03129,-2.3177
-1.1498,0.013246,-1.0563,-2.3177
1.3787,0.017421,-1.2368,-2.3177
-1.8008,0.017811,0.85343,-2.3177
1.2408,0.007036,-1.5195,-6.8419
1.2301,-0.015653,2.7548,-9.8836
-1.2608,-0.042317,1.4846,-38.716
-1.2284,-0.020911,-1.5966,22.525
3.4212,-0.031794,-0.54384,-27.31
2.5034,-0.024776,-1.8077,-7.1884
-0.040945,-0.012636,-1.2827,-8.7044
-0.63324,0.00222,0.12769,6.7921
0.15417,0.010351,-0.074394,-2.1461
-1.138,0.007275,0.30061,-2.1461
0.40282,0.00972,-0.20495,-2.1461
0.28526,0.011738,-0.86467,-2.1461
-0.6906,0.006106,-0.81264,-6.4952
-3.9105,0.014445,1.1867,44.888
-0.92822,-0.014776,-0.90847,-21.095
0.15522,-0.047572,1.1353,-15.803
4.1446,-0.049423,1.4131,-38.863
-6.0064,-0.030834,1.7492,40.833
2.9357,-0.015724,1.2242,-19.383
0.69603,-0.004045,-2.3154,-2.2112
-0.12013,0.006263,-0.5675,-1.9744
-3.5087,0.00473,0.2575,-1.9744
0.62922,0.007837,-1.7981,-1.9744
-2.8812,0.010301,0.042224,-1.9744
0.50684,0.005526,-1.1307,-6.4985
-1.8245,-0.00147,1.4186,0.33481
-1.8157,-0.033248,-0.001574,2.1022
0.75621,-0.017406,2.6672,-13.306
3.7702,-0.019624,-0.78005,-23.142
-1.2252,-0.016735,-0.068935,-29.145
0.50329,-0.005631,0.056065,-6.761
0.84262,0.00457,-0.033519,-0.089496
-0.25218,0.009994,-0.6856,-1.8027
-0.68553,0.008249,-0.7106,-1.8027
-2.2164,0.011564,0.15884,-1.8027
-2.7989,0.010709,-0.40088,-1.8027
-0.5304,0.004182,1.9262,-5.9018
-2.0921,-0.011662,-1.2745,51.281
4.9014,-0.020444,-1.2697,10.899
4.6854,-0.058445,0.77407,-43.659
-3.2283,-0.054588,0.12685,31.88
-1.985,-0.03548,-0.38704,25.402
-1.0092,-0.022268,0.087961,48.261
-5.9046,0.002863,-0.67662,0.35719
1.9622,0.012149,-1.9287,-1.631
-1.4577,0.009192,0.34629,-1.631
-2.9728,0.007706,0.51574,-1.631
-2.3007,0.00833,0.60602,-1.631
-7.3046,0.003962,-0.86695,18.795
5.5026,-0.016744,0.73236,-24.897
-2.8055,-0.040385,0.56222,40.021
5.2973,-0.05214,0.93097,-55.513
1.2273,-0.061272,2.1587,-14.798
-12.87,-0.029654,-0.60514,26.723
-2.0477,-0.028805,-0.58014,-19.543
-2.7466,-0.011701,1.5803,-4.2961
0.030426,0.001846,-0.09681,-1.4593
-1.1497,0.001069,0.02819,-1.4593
-1.1248,0.004022,-0.027366,-1.4593
0.19675,0.006075,-0.087088,-1.4593
-0.24905,-0.000728,0.83995,-5.9585
-1.6109,-0.024762,-0.010748,-24.075
-2.3481,-0.045363,0.41911,-3.0078
2.5626,-0.03776,-0.78714,-7.0411
0.015382,-0.054072,0.065641,32.973
3.9037,-0.047281,-0.12325,1.62
