MonthlyRes_Mean_RN_ERA_Residuals,MonthlyRes_Mean_SM_GLEAM_Residuals,T_CRU_Residuals,P_CRU_Residuals
4.9192,0.000501,0.48873,2.9583
0.68435,-0.007753,1.1575,-24.119
5.2981,0.001583,0.72484,-5.2563
0.52163,0.001015,0.33456,-0.42015
3.8768,0.000858,0.46303,-6.4535
13.64,-0.006345,0.47761,-53.115
-1.3788,-0.000274,0.05192,117.52
-5.5475,0.007979,0.10886,-7.1695
-16.095,0.001405,-0.46336,31.112
-2.454,-0.00179,0.021364,-15.747
-4.8838,0.021462,-0.46336,14.426
3.032,0.033368,0.41789,-50.212
-7.5064,0.045684,-0.30929,78.108
9.2486,0.028932,-0.45999,-103.93
-6.1526,0.03502,-0.37804,-10.172
-11.093,0.003536,-0.42318,5.9806
4.7182,0.004436,-0.13707,-5.4839
-2.6658,0.004642,-0.57735,16.777
-1.9333,0.005118,0.47612,1.9438
0.45217,-0.001734,0.070568,-14.221
10.268,-0.007046,0.17473,-26.541
17.151,0.003574,0.20946,74.025
1.9928,0.009107,-0.52527,-4.027
-12.946,0.049907,-0.69402,68.46
0.39881,-0.000572,0.1038,-46.62
-9.3426,0.026062,0.15311,1.6148
7.4942,-0.00831,-0.13995,-16.625
0.27722,0.016325,-0.035089,11.678
3.7458,0.004727,0.47602,-5.7116
1.1265,-0.000608,0.18574,-1.7255
-2.4405,0.001914,-0.060783,-5.7339
-0.19028,-0.000805,-1.0163,-13.499
3.9632,0.007681,0.012828,-8.5436
0.66108,0.021875,0.29755,-4.4526
1.7299,0.003334,0.33783,-63.88
-4.6945,-0.017812,0.094078,-19.392
-10.214,0.036411,-0.45811,9.5273
14.198,0.006404,-0.8338,-70.413
-15.037,0.006829,-0.37686,-6.3525
5.8403,-0.01861,-0.472,-2.1497
-0.48201,-0.013036,1.1641,-3.4643
2.8213,-0.012881,0.97384,-0.72821
-1.6408,-0.01022,0.35231,-3.7115
-0.14337,-0.015396,0.096754,-1.1518
-5.729,-0.022702,1.1759,-14.921
-6.7957,-0.031943,0.58564,81.195
-10.737,0.049561,-0.24908,109.97
-15.555,0.072396,-1.0178,224.48
4.3616,-0.0429,-0.17001,-109.55
6.863,-0.039561,-0.99571,-57.766
-6.7028,-0.020709,0.33624,6.7698
-11.672,0.015473,0.5661,0.022573
-20.278,0.046474,-0.69779,18.908
-1.8342,0.044106,-0.63807,2.2441
0.36554,0.019359,-0.2096,-9.2142
6.7855,-0.002196,0.93485,-39.58
6.9409,-0.01683,0.26401,-30.449
-4.1483,-0.013896,-0.92626,12.542
21.542,-0.03225,0.66401,-102.89
2.9469,-0.047202,0.045264,-55.723
0.48343,-0.003396,-0.68192,-31.053
-1.6295,-0.022621,-0.83262,7.3567
-5.4108,-0.010528,0.17433,21.342
-5.098,0.005199,0.42919,9.5199
2.6551,0.001251,0.3153,-6.3947
2.0193,-0.000333,0.65002,3.9414
-0.65416,-0.001075,0.7035,2.7581
4.0597,-0.013043,0.44794,-34.807
7.1329,-0.020457,-0.99789,4.8234
3.7125,-0.019914,-0.68817,19.239
8.1791,-0.00986,-0.047893,-55.888
5.4842,-0.046546,0.23336,18.775
3.5006,-0.082748,0.55617,-49.456
-3.1482,-0.030224,0.50548,5.529
-4.1195,-0.040343,0.76242,29.239
-16.447,0.028754,-1.1827,26.317
-8.9374,0.034896,-0.67161,17.903
0.39572,0.012531,0.088117,-2.6363
0.55348,-0.001016,-0.10841,9.4054
4.0371,-0.013751,0.61103,-33.885
1.6451,-0.024104,-0.1098,-0.85433
6.2702,-0.041952,0.79992,-55.763
-8.9605,-0.05071,0.2152,-9.9404
8.4129,-0.06622,1.0714,-64.203
-8.4724,0.028152,0.19427,41.142
-21.255,0.03492,0.24357,83.401
-10.649,0.041606,0.075515,21.837
-6.701,-0.030322,0.055376,1.2145
3.898,-0.021842,-1.0835,-6.8501
-3.4394,-0.005726,-0.87379,15.461
1.1652,-0.005808,0.52968,8.6527
5.3797,-0.010261,-0.95087,-25.988
16.005,-0.021647,0.92829,-0.33202
16.63,-0.039101,0.48802,-30.691
-2.6183,0.00277,0.20329,-8.2931
17.173,-0.018411,1.2345,-80.306
19.556,-0.017735,0.20736,-125.96
20.713,-0.055037,-0.66834,-69.051
-4.8443,-0.027389,-0.23639,36.434
6.8833,0.030262,0.043469,-3.2882
3.2093,0.011683,0.50458,16.772
-2.7881,0.006502,0.7393,-3.0916
0.57297,0.006595,-0.50723,28.775
5.4528,-5.3e-05,1.3122,-20.315
15.288,-0.012395,0.89139,-31.685
-18.37,-0.001553,-0.42389,55.056
-18.782,0.017888,-0.20861,56.454
-22.551,0.029606,-0.40236,35.292
18.605,-0.020968,0.29545,-53.114
2.5459,-0.035541,-0.23024,-52.854
-5.6491,-0.023463,-0.3233,-1.0186
3.9972,-0.017609,-0.16844,-2.7409
5.672,-0.011527,-0.78233,-7.3054
-3.4095,0.007589,-1.1226,17.606
2.5831,0.004403,0.10587,-12.403
11.38,-0.008457,0.65031,-33.443
-7.1242,-0.018813,-0.72052,26.113
-17.954,0.035907,-0.9358,97.979
-5.2117,0.03465,0.079479,-35.199
-11.673,-0.001024,-0.23927,38.139
-10.676,0.008863,-0.69146,37.859
-1.8737,0.009086,0.40785,-4.0567
-2.0837,-0.006822,0.31479,-15.621
1.329,-0.017632,-0.23034,-1.7186
2.2464,-0.005373,0.48077,2.7669
-11.918,0.001517,0.34049,13.303
-7.282,0.020611,0.66896,-12.58
