max_5consec_Ix5dayRN_ERA,max_5consec_Sx5daySM_GLEAM,T_CRU_Residuals,monthly_Rx1day_P_CPCU
5.3904,0.43969,-2.8367,5.9373
168.11,0.44499,1.3459,7.9027
32.82,0.43979,-0.99574,6.3582
52.043,0.43979,-3.6228,5.7039
142.91,0.45422,0.032733,34.856
48.589,0.43198,-0.66866,17.598
13.083,0.43527,0.17996,10.777
1.7308,0.43762,4.4834,6.1973
169.0,0.38844,-0.22282,10.876
174.88,0.36336,-0.14782,7.8373
145.51,0.39269,-2.8055,22.191
93.096,0.4084,0.035511,17.703
62.091,0.3796,2.5005,13.034
10.437,0.39645,2.3241,7.6677
0.82381,0.42017,3.9526,17.956
8.8037,0.43766,2.6075,5.8696
30.851,0.43766,2.8234,7.8221
68.907,0.44498,-1.5537,5.8205
138.09,0.45382,-2.7481,13.042
169.57,0.44551,-0.8849,3.7615
177.91,0.38364,2.8963,1.0558
169.8,0.32544,3.5713,6.7765
140.7,0.31629,3.7137,15.282
100.9,0.34785,0.77968,10.256
46.583,0.34067,-0.70532,10.015
13.591,0.35188,1.8433,3.8517
2.0479,0.36974,5.1218,8.2659
4.9031,0.43073,0.62663,9.9805
26.116,0.43107,-2.3074,2.0673
55.274,0.43268,-0.33448,6.0458
111.79,0.44488,2.0461,4.7791
153.99,0.43942,0.009267,2.7195
171.68,0.39,-1.9845,12.753
179.97,0.36106,1.4655,6.0709
131.29,0.31948,0.90788,4.1856
102.76,0.32486,2.0489,18.33
52.076,0.37258,0.73885,8.4987
16.198,0.39708,0.66246,8.3732
2.2601,0.39828,3.0909,7.6936
6.2109,0.37019,5.1958,9.4757
21.106,0.37019,5.5118,4.9623
90.802,0.4195,-1.0153,3.7438
135.19,0.42848,4.8152,2.4792
167.16,0.41994,-0.52156,13.063
164.06,0.39868,-1.6903,12.435
163.06,0.39309,0.084686,18.323
146.01,0.38528,-0.57295,10.519
89.194,0.36313,0.14302,11.391
45.425,0.39966,0.38302,9.681
12.693,0.41164,-1.3184,13.155
1.9976,0.41164,-5.7899,8.5066
7.71,0.39828,2.115,11.151
32.295,0.39828,-1.5691,0.14907
72.14,0.41185,0.87886,4.6069
141.34,0.41632,-0.94059,5.7236
161.47,0.39101,4.2226,0.4115
