MonthlyRes_Mean_RN_ERA_Residuals,MonthlyRes_Mean_SM_GLEAM_Residuals,T_CRU_Residuals,P_CRU_Residuals
-0.70869,0.031189,-3.4746,-6.4146
6.1241,0.012795,1.1025,0.87988
6.1009,0.029673,-2.9955,-8.2278
-0.77554,0.025208,-4.1156,1.0813
-14.235,0.02574,0.27537,42.326
-0.20505,0.014518,-0.044076,-9.8416
-0.39687,0.040127,0.75801,13.768
0.26884,0.048311,4.9351,8.432
-5.4288,0.002758,0.10106,-12.881
8.1086,-0.012357,0.42329,-31.064
-13.42,0.000746,-1.8996,27.463
-1.5255,0.011892,-0.11005,0.43544
3.1913,-0.031363,2.1029,-10.564
-1.0223,-0.042231,2.88,-7.9541
-0.68503,-0.026915,5.1571,-5.8902
0.053365,0.043672,2.6224,-24.437
2.0421,0.042185,2.5016,5.4751
-0.84701,0.039013,-1.0936,13.709
-1.2548,0.029568,-2.3776,7.5286
7.1499,0.024004,-0.70053,-22.367
12.33,-0.003023,2.9231,-35.678
0.35718,-0.013014,3.2453,-15.661
-5.663,-0.012634,3.0974,-14.51
-3.2927,-0.010999,0.41197,16.213
-1.268,-0.035327,-0.67504,-13.211
1.4773,-0.056349,1.402,-20.576
0.26677,-0.04264,5.3791,20.163
-0.96519,0.008738,2.2694,32.166
2.9891,0.017979,-3.7014,-15.047
-1.596,0.014809,-0.39656,8.687
-1.8218,0.012844,3.0944,-15.544
-7.8002,0.008053,0.67149,-13.414
-3.6833,0.002864,-2.0299,-15.825
-3.4024,-0.013326,1.0923,-24.008
-2.6439,-0.000408,0.14441,39.418
-5.3227,-0.011453,2.034,7.0412
-2.7547,-0.014258,0.72198,10.942
1.5532,0.002827,0.62407,-0.29832
0.5885,0.005441,2.4511,20.466
0.88205,-0.026967,5.3914,10.919
-0.98022,-0.027076,7.6456,13.181
4.2934,-0.027383,-0.47455,-9.2351
9.7072,-0.017816,5.0664,-8.3407
-5.4992,-0.015671,0.01851,36.438
-5.7845,-0.016416,-1.8579,5.1274
4.8034,-0.010617,0.21434,-12.755
3.4969,-0.00543,-0.65857,24.846
3.9327,-0.015818,0.63101,-26.231
-4.257,0.006026,0.744,43.47
0.30637,0.019017,-0.10392,-16.395
-0.45547,0.025706,-6.6268,-15.782
