max_5consec_Ix5dayRN_ERA,max_5consec_Sx5daySM_GLEAM,T_CRU_Residuals,monthly_Rx1day_P_CPCU
170.1,0.35047,0.19488,0.0
200.68,0.36794,0.74001,43.713
185.35,0.30202,0.50599,4.6905
195.13,0.28644,0.79765,34.756
181.11,0.31664,0.59974,31.76
142.64,0.42554,0.032376,27.15
158.82,0.42343,0.15321,16.77
154.63,0.402,-0.22179,0.49667
151.26,0.42385,0.047653,103.4
158.08,0.42483,0.16849,48.033
151.11,0.42557,-0.14054,104.11
144.95,0.42557,-0.32179,85.174
143.93,0.42556,0.015726,40.258
142.41,0.42277,-0.28844,8.0308
161.69,0.40668,-1.4134,0.13436
157.26,0.35227,-1.3718,15.417
179.47,0.32491,-0.36066,30.559
214.21,0.32258,-0.419,24.828
165.04,0.27872,-1.1669,10.656
164.02,0.31554,-0.32664,21.164
152.89,0.42007,-0.644,59.613
159.0,0.42422,-0.29816,46.671
141.7,0.42555,0.24281,58.536
146.42,0.42557,0.46156,59.663
164.02,0.42499,0.24908,41.63
158.78,0.42077,1.1199,8.5499
161.91,0.41185,-1.0801,6.5751
173.89,0.35702,-1.3384,0.31215
167.63,0.31304,-0.002313,11.517
183.75,0.29651,0.11435,9.9826
185.55,0.27615,-1.2336,14.846
186.5,0.31048,-0.018285,25.248
147.15,0.41703,-0.61065,49.679
143.71,0.42353,-0.38981,88.178
146.44,0.42542,-0.74884,164.43
146.62,0.42557,-0.73009,48.171
132.49,0.42557,-0.11757,68.625
167.17,0.42542,-1.2967,49.137
167.07,0.40321,-0.64674,7.8996
177.18,0.3631,-0.38007,9.5768
176.45,0.3222,0.50604,9.5436
213.17,0.28767,0.5227,13.123
219.83,0.25751,1.3248,3.2906
175.85,0.35316,0.81507,85.162
161.97,0.41947,0.047704,90.863
151.45,0.42396,0.34354,58.918
149.85,0.42556,0.15951,68.725
156.92,0.42557,0.45326,85.066
171.23,0.42557,-0.63422,29.784
164.99,0.41759,-0.28839,44.141
158.07,0.39326,0.13661,10.241
163.63,0.36176,-1.1967,3.4977
188.84,0.32501,-0.060612,5.5506
203.82,0.28882,-0.29395,7.8776
187.26,0.32205,0.28314,23.22
157.68,0.39494,-0.45158,47.121
131.95,0.42302,-0.56895,83.446
175.04,0.42389,-0.17311,35.751
172.86,0.42537,-0.38214,94.215
151.16,0.42557,-0.76339,39.662
137.07,0.42557,-0.45087,42.638
146.12,0.42238,0.39496,13.01
159.01,0.40589,-0.48004,0.87458
173.16,0.34731,-0.18837,4.1174
178.67,0.30979,0.59774,8.1136
203.29,0.29459,-0.1106,15.882
198.99,0.34764,-0.83351,33.639
166.49,0.40557,-0.91823,30.958
146.07,0.4235,-0.5856,46.372
152.18,0.42416,-0.86476,55.366
161.51,0.4247,-0.24879,37.001
153.91,0.42544,-0.53004,41.774
132.42,0.42547,-0.067523,33.997
165.86,0.42207,-0.34669,15.191
162.47,0.39863,-0.27169,5.1201
174.98,0.3546,-1.53,0.007021
194.81,0.30664,-0.39391,2.4693
203.11,0.27787,-0.47724,3.0148
180.76,0.26271,-0.55016,13.051
165.06,0.37208,-0.63488,39.815
165.62,0.41877,-0.002245,51.657
149.41,0.42211,-0.40641,48.665
142.77,0.42494,-0.21544,99.227
146.11,0.42552,-0.27169,35.342
144.39,0.42313,0.71583,23.569
131.27,0.42259,0.53666,25.18
163.1,0.4142,-1.8633,0.0
172.54,0.34761,-0.27167,4.2018
180.79,0.30139,-0.31056,23.72
197.87,0.28428,-0.068894,4.7051
184.48,0.25928,0.058189,11.924
178.04,0.28008,0.098467,31.26
146.16,0.4209,0.48111,106.75
164.82,0.42281,0.30194,49.654
151.21,0.42357,0.31791,46.537
151.21,0.42474,-0.18834,91.454
163.8,0.42551,-0.85082,51.773
163.0,0.41567,-1.055,32.236
162.12,0.37697,-0.75499,0.001032
165.43,0.35486,0.38668,17.268
174.9,0.31495,0.22279,19.693
203.02,0.30779,0.36446,23.163
168.06,0.32015,-0.35846,28.98
162.76,0.39673,-0.36818,28.958
165.45,0.42246,-0.26054,119.51
155.8,0.4241,0.085289,55.874
144.82,0.42457,-0.22374,38.16
149.61,0.42556,0.24501,71.395
169.77,0.42465,-0.16747,85.488
165.1,0.41609,-0.27164,26.159
166.46,0.37782,-0.47164,13.536
169.25,0.3198,1.095,17.917
183.82,0.29518,-0.54386,6.4365
187.64,0.28638,-0.60219,23.381
192.0,0.28851,0.24989,11.987
178.09,0.3772,-0.13483,71.376
148.65,0.40846,-0.27719,71.573
