MonthlyRes_Mean_RN_ERA_Residuals,MonthlyRes_Mean_SM_GLEAM_Residuals,T_CRU_Residuals,P_CRU_Residuals
-0.29086,0.003224,-0.23771,-2.6686
-2.2855,-0.000741,1.0852,-9.1207
1.4319,-0.003809,0.80882,-5.82
-2.8473,-0.003197,-0.50438,-1.161
-2.3394,-0.001543,1.7644,-9.3075
-0.63826,-0.021752,1.1116,-7.0783
0.016522,-0.008082,0.35118,-0.24085
-2.4564,0.002052,-0.90716,6.696
-7.3922,-0.001181,0.73104,24.174
-1.3254,0.013639,0.15604,-10.059
18.146,-0.010875,1.0553,-96.153
-1.8266,-0.032638,1.1526,-23.977
-4.4394,0.07685,0.44301,-6.5629
-2.8297,0.096889,-1.8174,24.025
-1.6072,0.067281,-0.050736,-1.9136
0.41127,0.012451,-0.056291,-1.0032
-0.051602,0.009345,0.46524,-6.5046
-6.6847,0.009531,-1.098,8.3294
-3.0098,0.013361,0.39579,-9.2921
-1.0502,0.007954,-0.083375,-9.7053
-3.7231,-0.008892,1.3375,-35.41
2.6707,0.059156,-0.11254,-8.6185
1.9132,0.08371,0.11176,-61.588
0.80792,0.044914,1.434,29.063
-2.9558,-0.004836,1.2494,18.227
-2.0973,0.010754,-0.060982,1.515
-0.51827,0.011621,0.23068,2.5268
-1.62,0.062312,0.15013,10.662
-5.6503,0.04713,-1.1533,-5.0642
-0.14356,0.04419,-2.2415,3.9948
2.1159,0.030862,-1.3228,6.8483
-5.2983,0.037951,-2.902,71.035
2.8172,0.013489,0.19388,-28.62
10.864,-0.011009,0.91888,58.222
5.1904,0.020487,0.24318,-5.4475
5.1036,-0.008048,0.66541,-41.696
-1.0569,0.061536,-0.49414,35.193
-1.4022,0.046414,-1.9796,-5.2446
-0.40455,0.031206,-0.78789,-1.9078
-1.1334,0.003436,-0.34345,-1.1724
-1.0722,-0.001097,-1.2969,-5.6488
-0.22862,-0.004249,-1.6101,-3.0898
1.8682,0.016969,-3.0664,15.139
2.0795,0.014325,-1.6705,27.901
0.47951,0.007015,0.4253,-9.5294
-6.8951,-0.002123,0.3503,140.61
-9.2391,0.057713,-0.52539,129.99
-8.157,0.078409,0.69683,-19.081
-3.5406,0.037088,-1.6127,-7.8167
-2.1699,0.021714,-0.69814,-5.2292
-2.1987,0.015344,-0.23147,-1.8924
-0.84817,0.018473,-1.112,-2.457
0.3886,0.00827,-2.8155,-6.1834
1.1846,0.001829,1.1963,-3.8494
-0.12836,0.000139,0.61505,-6.2709
0.11371,-0.005014,1.3859,-15.684
5.0879,-0.019528,0.03172,-34.914
9.4215,-0.031686,-0.09328,-60.697
-4.0466,-0.034832,-0.49397,-8.0917
-3.7284,0.022754,-1.8968,46.035
-3.1896,-0.065007,-0.6063,8.2237
-1.2296,-0.041168,0.78328,-5.2138
-1.9557,-0.033575,0.49995,-1.102
-1.5647,0.002695,-0.055609,-2.5666
-2.0898,-0.005311,-0.18408,-6.568
-4.497,-0.008904,2.0527,-1.834
