MonthlyRes_Mean_RN_ERA_Residuals,MonthlyRes_Mean_SM_GLEAM_Residuals,T_CRU_Residuals,P_CRU_Residuals
-4.9726,-0.007867,-0.14246,-3.8105
8.4792,0.003731,0.28392,-60.088
3.0976,0.001159,-0.14316,48.803
13.635,0.002844,0.3124,-124.82
-4.406,0.014742,-0.75427,-7.2918
-12.967,-0.021221,-0.3758,-43.833
3.9967,-0.042656,-0.13552,-9.3369
-6.854,-0.057524,0.48115,122.1
11.772,-0.023981,-0.37441,-50.577
0.64747,-0.019506,-0.54941,37.923
-4.3127,-0.009276,-0.11191,18.419
7.7169,-0.00866,0.72142,-17.648
3.2355,0.051391,0.94948,-49.97
-23.229,0.040773,-0.48524,79.926
-8.8198,0.046861,-0.043578,69.765
-14.765,0.005841,0.43281,29.002
-0.89082,0.011266,-0.26788,14.016
12.007,0.004681,-0.16233,20.139
7.727,0.005388,0.57101,-29.804
-3.5268,0.023173,0.3092,46.875
-3.4818,0.041318,-0.074133,59.161
-14.73,0.083107,0.15087,45.636
-1.6926,0.06368,1.1634,5.7816
-8.916,0.039135,0.8217,158.64
22.976,-0.032499,0.57475,-93.807
42.766,-0.064058,0.91503,-147.76
27.029,-0.075866,0.8817,-2.222
-8.1229,0.025196,0.058086,22.04
0.050946,0.015708,0.082392,121.53
-5.0224,0.004048,0.037948,-44.373
1.7611,-0.027537,0.44628,23.309
11.603,-0.037838,0.10948,-85.012
11.999,-0.055455,-0.29886,-61.926
12.375,-0.056296,0.95114,-23.626
3.5864,-0.043551,0.91364,-18.23
10.187,-0.026746,0.44698,-30.072
-17.301,-0.023672,0.52503,9.6812
-23.138,-0.004075,0.34031,144.73
12.286,0.025855,-0.21803,-45.334
7.9953,-0.02066,0.58336,18.853
6.2144,-0.01829,1.0827,45.317
-10.737,0.001373,-0.13678,12.74
-21.325,0.009511,0.59656,48.197
-31.095,0.035672,0.80975,200.4
1.5021,0.030235,0.85142,-57.113
-0.42001,-0.00339,0.30142,-20.988
1.0453,-0.014465,0.51392,-18.442
3.8904,-0.017502,0.49725,-29.009
0.6401,0.021031,0.3253,37.394
