MonthlyRes_Mean_RN_ERA_Residuals,MonthlyRes_Mean_SM_GLEAM_Residuals,T_CRU_Residuals,P_CRU_Residuals
-0.71096,0.038135,-3.5503,-9.2381
2.1553,0.007615,3.1198,-20.614
5.1634,0.037768,-4.4885,-6.4777
1.8465,0.035832,-4.1857,-0.47075
-10.716,0.022309,-0.35518,7.6709
-1.458,0.040457,-0.21907,11.808
-0.72048,0.040006,-0.52046,8.7286
-0.087494,0.03663,4.0788,-9.2701
-5.1342,0.015035,-1.3288,-0.91172
-2.0916,0.020454,-0.32463,-8.9673
-4.5873,0.026082,-2.7482,16.316
-0.070162,0.034295,0.72884,-11.94
4.3901,0.014873,2.266,-19.353
0.80567,0.018877,2.3396,-10.407
-0.29421,0.030483,2.2889,-17.056
0.28941,0.035251,1.9098,-16.449
1.7795,0.035046,3.1216,-5.0882
-1.1172,0.033763,-0.050638,7.5937
4.3965,0.019447,-1.4201,0.41038
2.7727,0.030097,-1.8951,27.476
4.9117,0.020477,1.2563,-23.647
5.3554,-0.008925,1.9355,-13.328
10.813,-0.011262,4.3119,-18.644
-9.9411,-0.005181,0.96395,38.374
-1.9205,-0.018193,-0.97387,15.437
-1.1352,-0.019576,2.5247,-11.193
0.59625,-0.021265,4.999,4.7339
-0.30747,0.030937,-0.15512,4.6908
0.084117,0.032256,-1.7433,-2.9988
0.43494,0.030559,-1.7405,-8.9418
-4.356,0.01389,3.515,1.6748
2.2221,0.0041,0.79002,-0.43487
-2.2939,0.020299,-0.28359,47.967
6.148,-0.003662,-0.029426,-3.2633
-0.58627,-0.006999,0.37196,-2.28
8.1971,-0.021181,1.649,-19.236
0.16458,0.004479,1.1862,-13.099
-0.50657,-0.001512,1.3348,-1.003
0.024063,0.002383,4.7841,13.473
-0.56229,-0.020262,5.455,-1.2197
-1.9031,-0.020001,5.2418,10.116
-5.5957,-0.019453,0.56956,-0.37735
10.702,-0.007702,3.9501,-11.186
-1.2338,-0.00737,-2.5749,3.2296
-7.8741,-0.006052,0.37651,20.657
-2.0861,-0.00538,2.2557,-0.12388
-4.8575,-0.007417,0.30706,-5.8155
-4.1465,0.012691,-1.4909,3.4282
-3.8466,0.020575,-0.70367,43.441
1.0021,0.030306,-4.9551,8.7614
0.04891,0.026823,-7.1308,-15.912
0.95956,0.001327,2.4151,-9.0052
3.2173,0.00096,-1.1481,-14.245
7.1896,0.003385,1.5797,-14.713
12.606,-0.017124,-2.3648,-15.521
-1.3424,-0.025,0.76022,-18.181
5.4832,-0.025712,0.56161,-7.3289
5.558,-0.051779,1.9908,-32.559
-9.637,-0.024648,0.21717,26.624
-1.9008,-0.018022,-1.3558,10.968
-1.0389,-0.024093,-2.5686,-6.3949
-0.33495,-0.025497,-1.92,1.1509
0.37245,-0.029219,0.55435,7.9523
-1.1145,0.025441,0.75018,-3.9908
-3.6842,0.025237,-2.438,28.495
2.2927,0.0236,-2.6852,-16.673
2.0877,0.006867,-0.42968,6.8682
5.2802,-0.000629,-2.5797,-10.891
-1.3186,0.005895,-0.87829,-4.4644
-14.94,-0.013763,-1.4991,11.205
8.9703,-0.003861,0.87727,-9.2366
9.8521,-0.023752,1.5044,-25.118
0.21263,0.015431,-1.0585,-11.555
-0.16004,0.008922,-0.43485,-1.1596
0.35721,0.007139,-4.6105,17.042
0.94687,-0.030601,2.1853,10.849
-0.50531,-0.030805,-2.1029,-4.5409
-6.4505,-0.031921,-0.42513,-15.509
15.623,-0.01262,3.0054,-12.042
-4.9346,-0.001707,-3.2196,22.223
3.4997,0.000982,-1.2682,0.47507
-8.8664,-0.006058,-2.064,8.4945
-3.8336,0.004047,-1.4376,6.5029
2.5814,0.007682,-1.0355,17.747
4.285,0.044781,-1.7234,-23.216
-0.41086,0.031373,-5.3748,3.4798
0.014898,0.028968,1.1496,-6.1188
0.34643,0.00587,-2.9296,34.163
-1.527,0.008105,3.5822,-5.7014
10.782,0.007079,-4.965,-7.4945
-7.8728,0.008384,-4.4845,20.572
-5.6704,0.009761,2.6155,-8.1625
17.2,-0.027815,2.5419,-42.21
-0.12584,-0.009983,0.44608,73.134
0.45538,0.009666,0.17247,2.1423
-18.272,0.051956,-0.92545,79.436
2.8487,-0.027352,0.16174,-23.327
-1.7129,-0.026515,-0.58965,15.819
-0.072014,-0.024864,1.5097,-3.3793
1.2093,0.027756,-0.56951,-8.4224
3.7749,0.02739,-1.1827,-10.887
6.6162,0.025453,1.1701,-4.43
5.2196,0.000543,1.5006,-2.2634
-1.7401,0.000785,-1.5744,-5.2481
13.209,-0.021735,2.752,-36.696
0.54885,-0.026121,2.0562,-1.6016
2.1985,-0.014834,1.9076,-8.8182
-2.0731,-0.01401,0.58466,8.3505
-2.1019,-0.027944,0.12184,29.388
0.56189,-0.011782,1.5205,8.2087
-0.32617,-0.003929,1.5948,5.5851
0.76178,-0.026246,-0.15941,10.267
0.32493,-0.02645,1.2774,3.2025
1.8604,-0.02835,1.2552,-3.9156
-6.1997,-0.01701,-3.5393,9.9761
-10.674,0.003758,0.010729,8.0914
10.907,-0.019566,3.4371,-36.157
14.742,-0.033967,4.3163,-35.787
-4.4856,-0.03313,-0.48233,-7.0038
6.3739,-0.035719,-0.030243,-21.51
0.027476,0.034303,-1.4931,3.3774
-0.086103,0.032207,1.2306,3.0732
-0.060319,0.030603,2.0799,-9.8004
0.86012,-0.005253,-0.34931,-5.8685
1.2382,-0.005458,3.6625,-7.208
-3.8801,-0.006989,5.1403,14.974
2.5162,-0.00406,1.3958,-3.1844
-10.131,0.013053,-0.50417,25.956
-13.744,0.011976,1.3972,40.733
-1.8717,0.041857,-0.64861,38.427
6.0554,0.029444,-0.32222,-5.5393
-2.7132,0.041513,-0.59514,18.779
4.3287,-0.043371,3.442,-25.358
-0.34496,-0.055294,0.26565,-7.4873
0.032455,-0.060265,-2.785,-2.6359
-0.65513,0.029253,1.7858,0.59601
-0.59216,0.029049,-1.7524,-10.494
-3.3446,0.027118,-1.5746,-2.5616
12.731,0.004768,4.1559,-20.395
18.455,-0.021007,3.7559,-27.63
4.9081,-0.041053,4.2573,-24.878
-8.6567,-0.030876,-0.26351,0.96685
-10.458,-0.031212,-1.8371,12.1
0.96663,-0.026539,1.04,13.744
-2.3631,-0.029672,-0.89786,9.1313
-0.63871,-0.028556,0.37576,9.7521
-0.36271,-0.033459,-0.44994,-5.7465
-0.53762,-0.061477,2.8959,4.5605
-0.86462,-0.061844,2.1827,5.9959
3.404,-0.06364,-1.2145,-10.297
6.8528,-0.057542,-1.459,2.4945
2.3101,-0.05171,-1.759,3.3598
1.8008,-0.040014,-3.0826,11.962
-17.348,-0.019261,-2.3784,19.281
-17.933,0.014932,-2.227,5.9646
14.565,-0.002849,-0.29994,-32.442
-3.2583,0.048527,-0.78775,13.621
-0.22473,0.038145,-7.7891,-19.058
-0.096411,0.033072,-0.91484,-2.832
-1.3512,-0.03484,3.931,0.52495
0.057148,-0.035044,-0.2822,-6.4146
1.7091,-0.036976,-2.0294,-0.40769
