max_5consec_Ix5dayRN_ERA,max_5consec_Sx5daySM_GLEAM,T_CRU_Residuals,monthly_Rx1day_P_CPCU
4.2448,0.29083,-1.9991,6.0219
185.68,0.27665,3.8418,1.1138
33.564,0.29083,-1.2103,6.9769
95.021,0.29684,-2.3512,2.665
166.74,0.31693,3.6238,20.323
78.415,0.30377,0.27655,17.438
33.564,0.31469,3.8029,4.4419
7.7873,0.32316,0.45641,3.1306
202.41,0.23265,0.81682,7.655
197.44,0.23021,0.65641,10.513
157.73,0.25245,-2.2089,21.051
129.9,0.27916,-0.71929,15.898
67.888,0.27188,-0.060158,8.1631
34.224,0.27122,4.4912,8.2463
2.0781,0.27122,-0.5803,2.3688
13.429,0.33367,4.5641,6.5225
50.66,0.34093,3.228,3.4763
102.32,0.3377,5.0371,2.9813
153.15,0.31136,2.4871,7.1863
177.18,0.28289,0.25512,28.555
204.34,0.3297,-1.4699,14.021
210.81,0.31455,0.9447,10.719
179.87,0.2978,1.1794,18.859
128.9,0.26788,0.51901,7.4131
59.08,0.37086,0.60314,31.293
31.273,0.37056,-1.3205,1.57
5.456,0.37744,2.833,5.1419
10.934,0.27122,-10.098,3.8894
23.818,0.27972,-3.4337,2.7606
60.917,0.32284,-3.5496,5.6444
156.14,0.34803,-2.2746,2.315
167.18,0.3393,-0.98158,8.0519
205.99,0.34773,-1.4316,17.541
212.05,0.31467,-0.367,13.891
181.46,0.28984,-0.93228,19.762
128.22,0.2938,-0.6927,26.066
65.031,0.27835,0.89143,4.7344
37.322,0.2935,1.8928,8.3056
6.0374,0.29993,-8.8037,3.8294
15.488,0.3781,4.9157,5.9138
49.081,0.38255,4.3546,1.2519
69.48,0.38974,-0.11134,11.897
164.42,0.38866,-1.6863,1.4869
201.47,0.35066,-2.0933,10.499
210.95,0.31466,-0.21829,12.563
204.47,0.30729,1.5713,23.278
185.58,0.27736,3.681,6.7325
133.66,0.27308,-1.3544,7.8469
81.354,0.30148,-0.84527,16.536
11.69,0.314,-0.44388,4.8619
4.2135,0.31533,-4.0404,2.0056
13.833,0.30037,2.654,5.6294
47.355,0.30888,7.8429,0.81063
100.95,0.30821,-0.79805,2.265
157.25,0.33405,1.402,28.446
191.19,0.33568,-0.80499,2.5656
204.5,0.28526,0.24501,10.006
200.52,0.2648,1.3096,9.4994
167.92,0.23786,2.6943,11.193
123.77,0.2577,-3.5161,15.422
78.29,0.34172,-0.50697,13.257
24.499,0.34166,-7.4306,3.1863
3.7016,0.34328,-1.7521,1.53
9.5879,0.31533,-1.1077,2.4056
32.127,0.3193,-1.7188,1.1106
94.117,0.32769,3.0652,12.742
157.0,0.32783,2.8902,9.9388
188.99,0.33692,2.7833,26.178
207.3,0.3199,-2.9167,8.425
208.79,0.29404,0.44789,13.951
165.48,0.30069,-2.5674,27.693
122.4,0.31482,-3.4028,19.283
63.549,0.33337,1.0563,4.0556
29.078,0.34556,-2.9173,9.9031
3.3499,0.34443,4.7362,0.62313
15.115,0.34642,6.3056,2.4538
53.477,0.35254,-0.93048,2.5756
113.28,0.35706,5.9535,3.9738
152.02,0.34891,-0.27145,8.2919
206.46,0.3751,1.0966,25.623
207.58,0.3486,1.1216,11.867
193.31,0.35537,-1.1138,22.593
177.21,0.3394,-0.92909,6.2563
128.16,0.32959,-2.6895,21.825
83.502,0.28385,-0.73038,1.3719
36.015,0.27415,3.921,4.0606
10.671,0.27228,5.2495,0.26875
13.258,0.34732,6.3939,2.8863
41.243,0.35161,6.6828,3.4831
87.046,0.36852,1.6418,7.4694
165.44,0.37084,4.8168,1.8156
182.2,0.31932,3.1599,9.6519
213.11,0.29461,2.4349,5.3231
195.35,0.30701,-0.52552,30.58
172.43,0.3043,-2.3908,9.495
137.63,0.28945,0.94879,8.1131
81.863,0.23802,0.10792,3.92
34.656,0.24356,-0.11569,4.4219
4.7156,0.24788,1.2378,5.0513
11.607,0.27987,-0.31778,3.5756
60.507,0.28517,-0.22889,1.2469
120.6,0.28611,2.1301,5.4981
162.13,0.27705,1.5551,7.3888
194.5,0.28301,3.3482,16.263
201.23,0.25199,5.4982,20.001
208.89,0.25227,1.4628,8.745
168.46,0.22866,0.5725,5.7444
132.42,0.23924,-0.71292,20.5
74.806,0.27965,0.59621,13.827
24.329,0.28692,0.5976,2.8794
6.1886,0.28769,-2.9489,1.9963
3.8911,0.24788,1.9955,9.8063
34.258,0.25039,-6.5656,2.2894
103.69,0.27948,-3.4066,4.0813
153.99,0.28796,0.34343,10.11
178.9,0.28279,1.5365,13.479
206.81,0.27589,-0.11351,24.229
209.35,0.27269,2.7261,6.1588
185.66,0.24766,0.9858,4.6331
133.71,0.27418,0.52538,23.27
77.962,0.27634,0.034509,0.59125
31.182,0.26936,0.5859,2.1719
3.397,0.27523,-3.7606,3.78
20.615,0.29408,6.5088,1.8306
48.737,0.29427,1.7477,0.40938
103.13,0.29251,2.9817,5.025
154.65,0.29158,0.20673,15.023
