MonthlyRes_Mean_RN_ERA_Residuals,MonthlyRes_Mean_SM_GLEAM_Residuals,T_CRU_Residuals,P_CRU_Residuals
1.607,-0.00242,-0.91381,-5.8295
-1.7114,-0.036289,-0.55062,-4.8434
-3.0336,-0.008997,0.045911,-12.853
-1.8507,0.006876,0.30286,-12.766
-0.53555,-0.01791,-0.27145,-15.08
-0.29072,0.00693,0.59452,-8.7004
-1.0911,0.014607,-2.1937,1.0635
4.7388,0.007908,-0.45895,-3.9282
-1.6987,-0.02889,0.29938,-0.63926
-0.94773,-0.028788,1.8292,-7.64
-2.7118,0.001133,2.0494,30.695
3.7758,0.005235,-0.15478,-6.2247
0.9111,0.03798,0.007151,13.05
1.7173,0.018552,0.14396,-7.1111
3.4824,0.018488,0.12868,-2.5028
6.0237,-0.000934,-1.6762,4.9708
2.9369,-0.011544,0.28354,-13.728
-0.1505,0.006633,-0.85952,6.2847
0.56358,-0.000347,0.59118,-12.63
-0.49608,-0.025599,1.487,-3.318
-0.19889,-0.009039,-0.28799,-14.464
0.91635,-0.008799,-0.23313,-1.9396
-3.4754,0.017451,-1.563,54.946
1.8558,0.044912,-0.84215,18.776
-0.86972,0.043559,0.94478,11.675
4.5223,0.027391,-1.1184,-6.2607
4.5075,0.012962,-1.0837,-5.7524
3.9328,0.016797,-1.6886,-3.6788
3.6854,-0.000834,-0.35383,-13.827
0.64919,0.010924,-0.59689,7.8601
0.92568,0.045283,-2.7462,18.796
-0.33388,0.031019,-0.57536,-9.5177
-0.34089,0.017231,0.39964,4.0615
-0.38341,0.032375,0.4295,4.1858
-0.47549,0.028038,0.57464,-1.0538
-2.9163,0.017644,2.7205,7.0011
1.512,0.022673,1.0824,-0.89923
3.1689,0.015923,-0.73078,22.315
1.1991,0.003959,0.078938,-7.627
2.1824,0.00765,0.67408,0.071607
5.0037,0.00036,-2.3912,-3.727
2.0352,0.010728,-0.084256,-0.7145
0.9718,-0.017777,1.3414,-13.304
-1.4153,0.010072,-0.98773,27.158
0.64891,0.028544,0.18727,-6.4631
-0.75903,0.044173,-0.057868,-4.6638
0.45714,0.025045,0.11227,-10.603
-4.556,0.038798,-0.2669,19.026
-1.7077,0.023923,-0.95496,9.0762
2.2078,-0.001651,1.4568,-2.885
0.15086,-0.001172,-1.3584,1.7234
3.5554,0.001326,0.41171,-6.053
3.7644,-0.012876,0.87143,-12.002
0.25348,-0.009423,1.5034,6.6359
0.62718,-0.018734,0.52907,-5.9787
-0.18925,-0.009149,-0.9501,9.3831
0.078342,-0.04688,1.6499,-1.9127
-0.44409,-0.052256,-0.32024,-6.4634
0.82363,-0.039176,0.3999,-10.553
-1.621,-0.001646,0.34573,-2.4481
