MonthlyRes_Mean_RN_ERA_Residuals,MonthlyRes_Mean_SM_GLEAM_Residuals,T_CRU_Residuals,P_CRU_Residuals
0.28573,-0.00413,-1.0478,-8.0652
8.7377,-0.009857,-1.6547,-25.987
0.15122,-0.001971,0.86123,12.97
6.2442,-0.001216,-2.7638,-13.757
-4.2279,-0.004917,0.64803,1.8841
-0.6801,-0.032651,0.44526,0.59936
0.000818,-0.02629,-2.3179,15.619
0.19737,-0.017948,0.3647,7.6528
9.0367,-0.021996,3.6786,-16.037
-1.7314,-0.020409,-1.0207,-30.653
5.8838,-0.036041,-0.45891,-48.203
4.426,-0.038828,0.43137,-22.494
0.50669,0.014933,3.0878,42.482
0.22914,0.01467,1.2496,-2.1232
0.19552,0.012922,0.38221,35.161
0.23731,-0.014333,3.6947,12.843
1.3117,-0.010663,0.47874,6.4782
4.0765,-0.010434,-3.4463,7.8511
-2.8603,-0.00725,-1.3595,19.842
10.203,-0.003151,1.6378,3.8213
-9.0201,0.012535,1.0711,65.196
1.0724,0.015436,1.9468,7.8803
-18.962,0.019748,0.8086,32.505
0.8407,0.016859,0.54888,1.9386
0.91907,-0.002128,-0.36972,-23.06
0.08191,-0.004336,4.4671,19.16
0.12098,-0.001571,4.5747,7.1189
0.35589,0.012045,-5.5628,-6.1742
0.78954,0.011867,2.8712,-14.839
0.26349,0.011143,2.0962,-3.4409
-6.0217,0.007756,1.0831,12.325
-9.9754,0.00999,0.93028,14.704
-2.7394,0.014206,-3.2114,4.7043
2.6899,0.009483,0.6643,-5.6117
-1.0023,0.003958,-0.27389,-5.8617
3.5145,0.002979,0.76639,-9.8284
-0.93537,0.004089,0.82279,28.423
0.15654,0.004352,-1.4904,14.443
0.11394,0.005228,1.5172,11.352
-0.048538,0.000937,4.4547,14.559
-0.39753,0.002481,0.31376,-2.7808
-7.4709,0.003138,0.71376,19.492
1.0768,0.006005,2.6506,6.5831
-19.101,0.007219,1.5978,7.5873
-4.5925,0.01039,-0.11888,0.9873
6.111,0.00958,0.90682,17.521
5.6949,0.006538,-0.006379,-34.954
-2.0999,-0.00212,1.8589,28.005
-0.28026,-0.007125,0.6903,53.106
0.35395,-0.007113,0.2521,-31.624
0.097913,-0.009696,-0.59026,-20.015
-0.053185,0.004906,2.5972,17.267
1.0283,0.00519,2.7563,-13.073
1.9119,0.005211,-0.71873,-6.8998
2.2934,-0.000363,2.0431,-15.109
14.856,-0.009611,3.5153,-4.7797
15.854,-0.024759,0.048631,-26.43
-12.218,-0.02132,0.14933,47.354
3.5662,-0.020158,-0.53887,-10.346
-5.091,-0.015826,0.051409,15.038
-1.0205,-0.015246,1.1828,0.18944
0.086236,-0.017045,-0.75539,-24.016
0.088257,-0.019022,-3.5477,12.843
0.47379,-0.011157,-9.5352,-3.6001
0.98643,-0.012016,-9.1512,-11.89
-0.11621,-0.012613,1.5738,-10.567
2.3642,-0.013147,-1.7394,-2.4258
-4.4207,-0.009551,-1.2672,-3.2717
-9.7082,-0.003907,-1.4589,26.078
-8.3511,-0.002828,-1.6832,-33.338
1.6708,-0.011536,2.7036,-24.688
-2.3463,-0.010312,0.54392,-7.3793
0.34894,-0.011747,0.45032,-16.253
0.17423,-0.014294,4.4121,0.3669
0.089962,-0.013821,-5.2802,-1.1741
0.42865,-0.018286,-2.4427,0.33288
0.11151,-0.018672,-4.4337,-12.057
1.2706,-0.018419,3.7163,-10.134
-0.86759,-0.010953,0.8031,12.557
-0.17951,-0.016056,0.27532,-11.589
12.671,-0.019076,2.1087,-28.289
-9.1478,-0.018236,0.13435,-31.705
-8.9133,-0.02334,-1.1288,-6.1046
-3.8824,-0.009012,-2.4136,27.779
3.1374,0.009681,2.4428,-54.895
0.16914,0.004232,-2.9704,-20.8
0.33593,0.002373,-2.7877,0.98395
0.37462,-0.015576,-10.675,-22.284
0.28903,-0.014479,0.2338,11.251
2.488,-0.014045,-2.5162,-8.9258
-2.7732,-0.010913,-0.82939,-11.61
-10.417,-0.013049,-0.50717,-4.5806
-26.465,-0.011375,0.25116,11.394
-5.618,0.002465,-1.7231,32.128
-10.123,0.017745,-2.1863,73.203
0.36124,0.017736,-0.59606,-10.038
1.0479,0.013243,0.61034,-1.2865
-0.024526,0.014223,-3.8279,-18.942
0.12207,0.012622,-2.2702,10.342
-0.12837,0.001752,0.89228,-7.8761
1.6864,0.000861,1.9263,5.5843
-1.7915,0.000176,1.0263,4.1822
-11.616,0.001465,-1.7619,32.373
3.4324,0.004545,0.96034,-8.3726
10.178,0.005742,1.5187,8.5024
7.4577,0.000478,2.6694,-0.56359
-17.148,0.014335,0.58117,82.236
0.76746,0.011354,0.97145,3.6197
-0.45535,0.004168,-0.44715,7.7965
0.29797,0.005194,0.91465,-25.684
0.071106,0.004205,-0.65271,-6.425
-0.047923,0.011494,5.0348,10.407
-1.5552,0.012578,7.0688,4.8923
-2.6466,0.014669,4.8938,2.8903
11.022,0.014666,2.1306,-17.544
9.2016,0.003353,2.5278,-20.965
23.951,-0.019701,3.4362,-33.14
10.542,-0.026142,0.81188,-32.431
-1.9143,-0.014758,0.72368,13.994
-0.078519,0.005523,1.739,2.5778
2.6141,-0.022498,-0.45464,-17.545
0.044923,-0.019116,-2.0928,-3.876
0.049966,-0.019637,3.7898,-3.442
0.18043,0.003334,-1.0227,9.6649
-2.4739,0.006061,10.111,19.275
-1.7065,0.009626,2.9613,12.023
5.9206,0.00972,2.7731,-2.4358
1.1507,-0.002786,-1.5296,-9.7816
-2.1259,-0.004137,-1.6463,-19.232
-19.96,-0.007295,-0.79561,33.477
6.7868,-0.006357,0.26619,-58.473
1.7846,-0.021581,-2.0435,-29.014
2.8231,0.001513,1.7879,2.8125
-0.052275,0.00094,4.4497,7.507
0.015449,0.001344,2.2823,-1.134
0.70088,-0.021288,0.16981,10.898
0.49445,-0.022269,0.20384,0.23337
1.7648,-0.022981,-0.82116,-8.0187
-3.3474,-0.013352,0.64065,22.697
-16.523,-0.006794,-0.66213,14.626
-7.8963,0.006633,0.7712,15.401
-3.853,0.005125,-0.8781,-18.265
-0.53133,0.007248,0.3587,-7.2895
1.3447,0.00095,-1.076,-14.406
0.27328,0.006943,-5.3946,-2.5294
-0.13255,0.007283,-3.6578,3.69
0.005287,0.007455,5.3498,-2.051
-0.13895,0.002062,2.5623,-7.269
-0.005117,0.001719,4.6964,-1.1586
-7.4226,0.002654,3.6964,14.564
-9.4683,0.007713,-1.7668,48.055
7.1473,0.011744,0.83038,-9.8906
19.275,-0.006868,0.13871,-37.841
-1.8105,-0.011925,-1.3106,-14.707
2.3151,-0.012525,0.076214,16.968
0.17818,0.005557,2.7665,16.102
-0.71596,0.023665,-2.2521,11.354
-0.066021,0.020331,-5.4403,-44.727
0.040071,0.017946,0.21734,5.682
-0.075215,0.00598,3.6048,-8.011
-0.58337,0.004882,3.8889,-2.9256
-0.81403,0.005305,1.0139,7.7973
6.408,0.00676,-0.99933,-8.7617
17.053,0.001185,1.6979,-8.7075
-17.433,0.008741,-2.8438,9.4175
-17.419,0.02166,-0.74308,25.926
-8.5955,0.032349,-0.75628,30.376
0.56283,0.027731,-4.141,-9.8902
-1.6798,0.027414,0.090401,6.8866
-0.047692,0.023311,-1.9728,-7.119
-0.01974,0.020267,1.6598,-0.95994
-0.14567,0.016696,1.0473,0.197
-0.16791,0.015439,-5.4686,-16.443
-1.542,0.014797,0.28137,14.33
-2.3949,0.013594,2.2432,18.821
0.86831,0.009123,-2.8096,0.67548
-6.737,0.020431,-0.52627,32.525
23.764,0.008585,-0.67557,-39.39
7.7135,0.001703,-0.51377,-22.44
-10.073,0.019405,0.97651,61.843
-0.39439,0.011162,1.7329,-4.6804
-0.20042,0.012036,-2.8053,29.564
-0.031459,0.010529,-4.3976,-18.277
-0.22025,0.018744,3.9149,19.23
-0.37154,0.017979,6.4239,1.7654
-2.5137,0.018451,3.4239,8.1634
-3.6899,0.015396,0.71069,11.629
1.4601,0.01697,0.55791,26.758
11.463,0.00435,2.6162,-22.042
-3.3619,0.024044,-2.5081,3.8425
2.8459,0.018135,-0.37126,-19.132
2.6295,0.014691,0.79402,0.82585
1.1039,-0.004888,0.80042,-31.047
0.010625,-0.005814,4.8372,10.772
-0.04321,-0.003983,-0.43013,19.506
-0.076582,0.008299,1.1824,-22.162
0.092867,0.007144,-3.4086,-0.10155
4.0852,0.006368,-1.0086,-23.004
0.39906,0.001944,-1.0218,-13.213
2.638,0.004037,-1.5246,-6.5085
-15.336,0.010768,-1.0912,20.092
-15.318,0.020715,-1.9406,28.601
17.667,0.013257,1.2463,-58.249
5.7105,-0.000453,-1.9885,-20.016
-0.56333,0.005332,-2.4321,7.3856
-0.054656,0.004925,-1.1453,2.0301
0.10112,0.003116,-1.9126,-10.436
-0.18909,-0.003484,-0.95012,-0.77895
-1.3799,-0.004028,2.6089,7.3315
0.44259,-0.002269,0.7839,4.0294
-7.9216,0.000963,-2.0793,15.995
-3.0095,0.013506,-2.2571,14.35
5.5799,0.017177,0.32627,2.1245
11.454,0.014559,0.07696,-44.416
9.8705,0.007004,2.1138,-34.216
-3.0496,6.3e-05,-1.021,4.4919
-0.77918,0.017965,0.46044,6.4937
-0.096027,0.017869,-4.2028,-8.8869
0.054538,0.015094,0.029887,-4.7779
-0.000268,0.001405,2.8924,1.8041
-1.3639,0.000273,-6.0486,20.789
2.4593,-0.000336,-2.5986,4.6874
2.6791,-0.002493,-4.0868,-22.397
-5.206,0.009432,-0.36456,16.358
-4.5538,0.016708,0.51878,37.283
-11.48,0.022044,-0.08053,14.867
-10.124,0.029403,-1.6937,-4.1584
-1.1559,0.022952,-0.078446,-7.0751
-1.2697,-0.007936,1.628,5.3517
-0.070554,-0.00955,-1.9102,-13.754
-0.067819,-0.004471,2.5224,38.03
-0.094402,0.01404,-3.0151,-0.73792
0.22371,0.01326,-1.1311,2.4475
2.381,0.012564,0.61893,-15.655
0.85745,0.008477,2.4307,-3.8636
5.6219,0.001063,-4.672,-9.1344
16.108,0.003662,4.4113,-11.909
-0.14155,-0.005631,0.78698,-12.0
0.1022,-0.013209,-1.3512,-40.65
3.6204,-0.0231,0.76406,-20.842
0.33589,0.015107,2.6455,0.98468
0.068091,0.016425,1.5323,6.6291
-0.067913,0.014782,1.6649,-3.3368
-0.13776,-0.002645,1.5274,4.1701
0.60398,-0.001969,3.2364,6.2305
0.50089,-0.002358,1.7364,3.7784
8.676,-0.001864,2.8982,-11.531
1.7325,0.000358,-0.55454,-10.326
6.6172,0.000859,0.028797,-13.501
-6.6309,0.012604,0.77949,43.533
-6.666,0.022395,-0.8087,-21.867
0.93498,0.019872,-0.91843,9.3159
