MonthlyRes_Mean_RN_ERA_Residuals,MonthlyRes_Mean_SM_GLEAM_Residuals,T_CRU_Residuals,P_CRU_Residuals
0.79916,0.008216,4.717,-2.0298
-12.815,0.012053,-1.7552,40.488
-0.94297,0.007931,-0.50867,-9.609
-9.0549,0.007529,-1.1364,-13.395
-18.512,0.006318,-3.5135,-3.2444
-2.7952,0.014204,-1.7948,17.798
0.72251,0.009988,-1.0114,41.776
0.81516,0.008965,2.5587,-31.785
-6.3235,0.034441,-0.94061,19.731
-1.0791,0.040234,-0.18297,31.858
4.6928,0.022962,0.28092,-68.499
-3.2009,0.016092,-0.14478,-6.134
3.2645,0.013645,2.1099,-9.9551
0.8823,0.007327,0.11828,-10.777
0.76233,0.006367,-0.061581,19.887
0.8938,0.008699,-3.7032,-18.883
0.45512,0.008365,-0.60394,-8.8121
-5.7247,0.007969,-2.6567,-3.7732
-17.218,0.006786,0.4412,26.578
12.527,0.006126,0.54953,15.61
18.894,-0.01177,1.5391,-43.122
-17.843,-0.018585,-0.22825,-0.044709
-12.009,0.024983,1.5606,39.598
-4.7233,0.026331,1.7349,36.513
0.31635,0.015482,1.1397,-11.758
0.68277,0.010177,-1.327,31.595
0.70949,0.009183,-0.55685,37.734
0.68813,0.006696,-2.2735,32.664
2.6548,0.007425,4.7758,-8.2152
-8.651,0.007442,-0.95199,17.749
-22.624,0.006661,-1.2291,1.5994
0.074779,0.004502,0.77926,-21.818
-6.1224,0.013749,-0.98116,-1.0749
2.9669,0.013966,-1.2485,-6.3978
-7.6786,0.010856,0.040367,47.295
2.9374,0.026093,0.61467,9.7348
-1.1842,-0.007501,1.0694,8.3137
0.56315,-0.002976,-1.6723,-19.483
0.65666,-0.002409,3.1979,-0.86895
0.68836,0.00902,3.7312,2.1359
0.42929,0.008802,-1.4195,-9.3183
0.93789,0.008468,0.27773,-16.854
-5.2761,0.007429,-0.72435,6.8963
4.3894,0.004132,0.10898,-12.721
34.557,-0.011364,-1.0014,-44.978
6.1162,-0.025878,0.3312,-15.776
-2.7983,-0.003518,1.2951,-10.883
11.452,-0.032586,-0.030601,-70.968
2.8355,0.009847,1.0491,-10.589
0.65045,0.003096,0.50746,-21.436
0.60369,0.004786,-0.1724,45.803
0.58769,-0.002448,0.41093,-6.2172
0.75656,-0.00258,1.3852,-11.196
5.7224,-0.002883,0.63246,-17.307
11.657,-0.004431,-0.29463,-21.582
12.092,-0.026214,0.91371,-26.874
-29.66,-0.011745,0.65329,43.219
-32.689,0.029433,0.63593,79.196
-0.63735,0.031964,-0.65018,-26.961
-1.7694,0.018499,-1.1009,28.554
1.9804,-0.029123,-0.04615,5.6575
0.50668,-0.00909,2.6372,-2.289
0.55086,-0.008245,-0.79268,-16.85
