MonthlyRes_Mean_RN_ERA_Residuals,MonthlyRes_Mean_SM_GLEAM_Residuals,T_CRU_Residuals,P_CRU_Residuals
-0.88955,0.040142,-1.2902,-3.4769
5.4919,0.017945,1.7028,-0.18873
1.1958,0.03672,-0.93883,-9.1616
3.5738,0.03361,-4.3791,-2.9693
-5.925,0.026699,-1.8173,3.0106
4.7942,0.024914,-0.00202,-8.2804
1.3248,0.029592,3.8216,69.041
-0.77101,0.051741,1.3674,-11.024
-21.034,0.036964,-1.4506,56.67
6.1789,0.030949,0.20145,-18.598
2.3275,0.018639,0.85006,-10.177
1.3581,0.018051,0.76187,-14.052
-2.7809,0.02332,-2.0247,-7.7121
-3.1643,0.027918,-1.4011,-6.8156
-0.19592,0.022567,-1.3053,-16.806
1.2039,0.048281,0.71207,-4.1336
3.7821,0.06717,-0.18655,0.20666
-2.0963,0.076191,3.3482,6.699
2.0734,0.07397,2.085,0.15389
5.425,0.061854,1.8551,-18.67
-0.87273,0.032639,2.7016,-12.337
-0.96827,0.024365,-0.34627,5.5206
3.8948,0.013121,0.92734,-23.034
-4.333,0.015957,0.18915,4.6914
0.77286,-0.010599,2.0775,0.78123
-1.8348,-0.013949,1.3762,14.778
-0.7191,-0.019954,0.046986,-9.5875
-1.2576,0.020742,3.3143,-5.8403
-0.61347,0.026742,3.2157,-3.025
3.003,0.020275,-2.8495,13.867
13.884,0.007218,2.4123,-23.978
-4.9699,-0.008705,1.6574,-15.477
4.1257,-0.016007,2.4539,-24.719
5.516,-0.022097,0.63101,-24.336
-2.4716,-0.018574,-0.070375,0.7597
-1.0438,-0.00962,0.69143,-2.2903
2.0995,-0.021403,1.4548,1.2245
-1.8485,-0.018118,4.0034,12.371
-0.82231,-0.005062,2.0493,3.9308
-2.5878,-0.02569,4.6916,-2.147
2.1981,-0.026397,2.818,1.6933
8.8735,-0.02696,5.4277,-11.839
17.393,-0.057011,-0.28546,-21.659
-17.389,-0.039976,-2.4653,109.27
3.2232,-0.028572,-0.44379,20.35
9.8955,-0.026086,0.28329,1.9322
3.4751,-0.015946,1.0569,16.028
-1.0853,-0.012044,-0.30629,17.178
-1.6909,0.007906,0.1321,5.8679
-4.8305,0.021953,-3.2443,29.314
-1.0127,0.024164,-11.123,-15.551
2.3759,-0.008147,-2.0811,-7.4287
5.224,-0.01186,-6.4297,-0.11339
8.0243,-0.018524,-0.69498,7.629
-0.59872,-0.022414,-3.1832,-1.0162
1.3212,-0.017649,-0.11304,19.96
-1.1988,-0.002805,-0.69151,38.643
-2.4078,-0.004803,-1.4894,-9.9995
6.6281,-0.007165,0.33419,-22.729
-4.4666,-0.007266,-0.35401,5.8213
-10.607,0.001445,-0.89062,40.836
-3.5677,0.003505,-0.242,6.2327
-0.8025,0.001611,-0.44617,-4.6576
0.35965,0.017392,-2.2538,-9.7104
0.94544,0.014518,-1.2274,1.5299
11.842,0.005595,-6.4177,-9.8777
7.6361,-0.010785,0.61911,-9.4729
-1.1488,-0.016769,-1.9108,-4.0222
-0.21509,-0.011814,-1.7392,-14.589
8.0349,-0.013167,0.28786,8.3938
-4.3197,-0.004787,0.036467,17.59
0.4814,-0.004866,-0.30173,-16.36
-2.7993,-0.007825,-1.5883,27.904
-0.024057,-0.018398,-1.7647,-15.924
0.24868,-0.021822,0.33111,15.986
-1.355,-0.003933,0.67347,2.458
0.65094,-0.007352,-3.5001,-6.7018
-0.45202,-0.016805,0.034582,-2.8344
12.24,-0.00586,-1.4286,3.6455
-6.8168,-0.008643,1.2165,-6.6038
0.45019,-0.011722,-1.6869,-6.7955
12.356,-0.02022,1.4651,-30.313
-0.34562,-0.012953,0.36375,-8.217
4.698,-0.013928,0.40055,-0.34204
-2.3688,0.007937,-4.2611,1.3228
-1.2276,0.00177,-6.3124,29.069
-0.044274,0.001391,1.5334,11.829
-2.6702,-0.01604,2.7758,5.0763
-6.8449,-0.006453,2.0771,11.117
5.7076,-0.002913,-4.1631,-11.091
-7.7724,-0.013468,-2.2013,17.839
-12.761,-0.003108,0.068807,32.189
-3.9903,-0.00339,-2.9097,-0.0772
14.953,-0.010907,1.9924,-16.07
2.3694,-0.015344,1.741,-12.274
-6.3949,-0.002535,0.55283,15.576
-0.89107,0.024114,-0.33377,6.1161
1.6554,0.02548,2.4898,-23.662
-0.26089,0.023997,4.6857,3.9474
-2.2263,0.015188,1.153,7.0196
1.485,0.015233,-6.1956,-2.7901
