MonthlyRes_Mean_RN_ERA_Residuals,MonthlyRes_Mean_SM_GLEAM_Residuals,T_CRU_Residuals,P_CRU_Residuals
0.72563,0.004819,-6.9152,-17.447
-31.264,-0.004617,-0.10408,43.45
1.0413,0.00457,1.2855,-0.009877
4.6361,0.00356,-2.5826,-18.906
0.9163,-0.005737,1.1334,-9.7932
4.7933,0.015379,0.039667,-22.361
1.0488,0.011502,-0.45894,7.7832
0.76676,0.008306,4.3751,8.0894
16.069,-0.007622,0.90494,-42.353
-22.389,0.00868,-2.1742,23.187
-4.8918,0.010549,-2.0117,19.014
-0.92799,0.020547,0.54175,1.745
0.86932,-0.003812,4.4278,-20.149
0.53956,-0.005566,3.7542,-23.654
0.95725,0.002976,3.4882,10.727
0.76215,0.005746,6.373,10.516
3.8834,0.005465,2.5487,1.7277
-1.3162,0.004459,-2.7444,11.557
3.3182,-0.004054,-2.7284,-6.9057
15.833,-0.005175,-0.14092,-13.088
23.954,-0.004655,3.2431,-34.615
4.7239,-0.014561,3.1639,-11.151
6.7227,-0.014997,4.3764,4.0013
-10.119,-0.004704,0.62992,29.108
1.395,-0.018161,-2.134,3.7638
0.78963,-0.017912,4.2174,1.6083
0.82849,-0.0167,6.5014,19.315
1.2988,0.00504,-4.6139,15.378
1.2405,0.005699,0.41183,-6.2098
3.2037,0.004802,-1.0062,-8.3306
-14.011,-0.003403,0.38475,27.107
5.6229,-0.012224,0.37225,-17.425
-21.712,-0.009509,-2.9187,25.947
2.3998,-0.019595,0.80211,-23.563
3.839,-0.015428,-0.21039,-19.186
5.1704,-0.010844,2.0681,-42.905
-0.33683,0.013933,1.1042,7.0264
-0.093373,0.011162,0.40556,50.521
0.72503,0.009449,4.6896,10.552
1.1724,-0.015769,4.7993,-1.859
3.0551,-0.01595,1.55,-1.5972
3.4592,-0.015851,-1.1681,-7.218
9.1898,-0.009138,4.9479,-12.606
-9.1627,-0.022463,-0.56458,-9.7375
-25.043,-0.011705,-1.2306,60.585
-1.8058,0.010299,1.0153,32.774
-1.3764,0.023483,-0.14722,27.601
1.9786,0.018484,0.25625,-16.992
-0.42148,0.021745,-1.4827,10.989
0.90311,0.01562,-3.3563,-6.9166
0.62437,0.011733,-4.8223,-26.035
0.075998,0.006864,4.6125,-16.246
1.6779,0.006631,0.91317,-26.635
6.7476,0.006151,1.1701,-27.455
8.717,-0.002146,-1.1389,-11.768
16.646,-0.016804,3.4236,-30.775
-8.4539,-0.00904,0.18261,64.472
-4.8224,0.018054,1.0784,47.637
-6.9163,0.024246,-1.2341,12.339
-3.8015,0.025272,0.019417,21.545
1.9887,0.007585,-0.9695,-11.873
0.47028,0.00209,0.13189,-17.679
0.79194,0.001832,-1.0841,28.902
1.8156,0.009173,-3.0994,25.991
2.0202,0.008892,-5.5987,-12.222
4.5618,0.007908,0.63328,-19.593
-10.768,-0.0005,-1.4508,30.145
5.5381,-0.000606,-1.6133,11.713
-8.58,0.001684,-0.35422,1.6598
-20.663,0.016911,-1.5334,30.699
3.4571,0.021659,2.4291,3.0015
2.4757,0.013383,0.98258,-14.117
