MonthlyRes_Mean_RN_ERA_Residuals,MonthlyRes_Mean_SM_GLEAM_Residuals,T_CRU_Residuals,P_CRU_Residuals
1.8743,0.08336,-0.77541,0.99962
3.0521,0.094873,0.098201,-10.798
4.1039,0.088682,-2.6185,5.5191
4.968,0.10028,-4.9865,-0.39413
1.0417,0.10837,-5.1671,-17.386
-2.9675,0.029305,-1.8539,-2.5344
2.1448,0.046075,1.5781,5.1524
2.407,0.07202,0.038479,2.1052
-10.694,0.069615,0.60515,10.574
9.0828,0.05213,0.45028,-28.32
8.4513,0.032166,2.2308,-15.186
-0.92349,0.031877,1.0183,8.4246
-5.9066,0.062859,-4.7533,5.2908
3.8443,0.07531,-5.2714,0.57764
2.5902,0.078335,-3.111,0.95542
3.7663,0.077926,-3.2998,0.87487
1.524,0.079884,-0.9679,3.9693
-4.4271,0.1001,1.064,3.8061
5.7307,0.10816,2.7335,-25.711
10.174,0.090529,1.4488,-24.072
3.3042,0.049106,1.7307,-32.701
5.1213,0.035748,0.45085,21.18
-20.053,0.039626,-0.9686,24.639
-9.1287,0.051978,0.7189,11.75
4.0303,-0.009586,2.4222,-2.6089
2.7956,-0.012504,1.0042,-6.0971
2.5007,-0.013693,1.3646,1.7307
2.3152,0.079066,1.0507,-1.0499
3.3742,0.079489,-2.0923,-5.7054
0.35574,0.080555,-1.2104,-3.0436
4.9363,0.080107,3.1591,-11.31
-9.7058,0.062127,0.82433,6.4029
-5.2308,0.03555,-0.018726,3.8994
-3.6939,0.008512,-0.97359,-12.019
-10.02,-0.007421,-0.068032,4.6647
-4.3654,-0.008268,0.71947,-5.1999
6.4602,-0.028365,1.8728,-13.709
3.5807,-0.030398,4.6048,-2.9969
1.6965,-0.030347,0.34017,-7.0441
2.6548,-0.01606,1.0263,0.95036
1.5457,-0.01633,0.25823,0.79481
5.038,-0.017926,-1.2598,-4.6434
-2.7042,-0.018349,-5.1154,10.465
-6.1914,-0.021609,-0.52511,19.253
-15.508,-0.022054,-2.3932,12.825
-10.882,-0.023703,-1.873,-11.769
1.2472,-0.024044,0.35753,-4.8351
-1.9191,-0.024353,-1.005,3.6504
-0.60555,-0.014201,0.47337,5.0166
-0.99882,-0.012813,-2.0447,9.9284
1.9229,-0.013688,-3.8593,-3.0188
2.0885,-0.033188,-1.5482,-2.4244
3.1316,-0.033475,-5.2162,0.64506
-0.33902,-0.033,-0.75926,10.107
3.3883,-0.032888,-3.0148,-5.1348
-2.3109,-0.033777,0.47546,-17.797
-10.985,-0.024357,0.032402,8.5999
-30.648,-0.017954,-1.5725,25.006
-27.313,-0.010604,-0.8669,42.64
-5.1924,-0.012756,0.4706,14.526
2.0744,-0.020507,-0.77606,8.3168
2.0883,-0.021704,-1.6191,-6.5214
2.3336,-0.023139,-2.5087,-0.81858
2.0165,-0.015402,1.8774,4.2009
2.3941,-0.014008,-2.5906,-1.0297
2.2011,-0.015283,-4.7087,-3.4929
-9.7135,-0.014482,0.73574,23.34
0.1086,-0.011307,-1.224,4.5786
-9.1023,-0.014077,-1.592,28.6
-21.643,-0.014999,-1.1219,-0.51858
0.95552,-0.021567,-0.46634,-7.2096
-2.0017,-0.017619,-0.85384,12.176
2.3195,-0.02995,-1.3005,12.167
1.933,-0.0288,-5.4936,-0.82111
2.0736,-0.030282,-1.4581,1.7317
1.9569,-0.024601,1.153,0.17611
3.5825,-0.024953,-1.8901,-3.0044
4.0822,-0.025046,-0.008137,-1.0926
-9.5995,-0.025527,-0.58869,-1.0343
-12.095,-0.024208,2.1266,3.1539
-12.286,-0.023221,0.03353,28.525
-8.5604,-0.025832,0.20367,-1.3433
-2.5727,-0.027271,-0.16578,1.0407
-0.69755,-0.028446,1.3217,3.5261
-2.4817,-0.011513,-2.0499,18.517
0.95845,-0.012008,-2.493,-0.97086
1.4898,-0.013765,1.3424,6.1819
1.5991,-0.031277,2.0035,2.9014
0.26264,-0.031707,2.1105,-0.6042
1.0017,-0.033245,-2.7576,1.9326
2.2155,-0.032547,0.56187,10.491
-14.045,-0.026781,-0.22285,6.8541
6.5985,-0.025964,-2.6909,-3.3993
-8.299,-0.029295,-0.77077,6.4319
-14.854,-0.029409,0.30979,10.616
-6.0357,-0.029181,0.22229,3.6514
-2.7616,-0.016548,0.35063,1.6176
2.9429,-0.017762,2.9076,-11.071
1.4982,-0.018542,3.443,-1.1428
0.81129,-0.016088,-0.020897,-1.6484
1.4624,-0.014991,-1.689,-0.15395
3.1275,-0.014918,-2.507,-3.5171
5.7693,-0.016106,-0.66256,-8.0588
-1.3164,-0.015196,-0.64729,29.354
-15.439,-0.015038,-1.3153,7.1009
3.1914,-0.015608,-1.6452,4.2072
13.516,-0.02301,1.0854,-29.309
4.0216,-0.026641,2.5229,-20.423
4.242,-0.025746,2.4262,2.1928
1.3596,-0.025926,-2.3919,-3.4454
1.3395,-0.025536,3.8686,3.8074
1.2737,-0.019416,1.4047,0.60186
2.2677,-0.020104,-0.38839,-4.4037
-5.8549,-0.021419,4.6186,0.083106
11.796,-0.024178,1.938,-10.734
14.398,-0.027752,0.97828,-15.745
-6.9891,-0.023015,-1.1898,6.1512
-1.9067,-0.017683,-1.0196,21.007
7.0967,-0.025357,0.18592,-13.459
5.1018,-0.027604,-0.65158,34.927
5.2546,-0.006098,3.3268,-6.5069
0.66397,-0.006746,-0.5413,3.0799
0.91368,-0.005623,2.3441,1.7827
0.66913,-0.028033,-1.0948,-2.6729
-1.1856,-0.028207,3.1622,3.0715
1.5116,-0.029921,3.7441,5.6334
16.117,-0.030941,-0.73644,-10.208
8.6983,-0.030156,1.5288,-13.095
1.5374,-0.023132,-0.96421,30.751
-8.8995,-0.01634,0.35593,29.958
-9.7536,0.004176,-1.0635,1.5167
3.2871,-0.000985,-0.27602,-1.7479
-0.61094,-0.010336,0.55232,1.1183
2.0952,-0.007975,1.0843,0.38013
1.0244,-0.01067,0.41968,-1.2171
1.8514,-0.006018,0.40579,4.5274
-1.0767,-0.006469,1.6627,-1.7032
-1.2599,-0.005065,-2.9303,1.6586
7.316,-0.006229,-4.2609,-14.108
3.5285,-0.008594,-1.1206,-21.145
-13.297,-0.007617,0.13635,12.602
1.8936,-0.0091,0.65649,6.0579
-7.9367,-0.014341,0.83704,59.192
-0.13389,-0.006643,-0.20046,17.277
4.5416,-0.013366,-2.3721,-8.1314
0.78194,-0.015309,1.0098,1.1054
0.57936,-0.015721,1.0952,6.9582
1.3243,-0.014262,2.9564,-3.9974
0.07459,-0.015335,0.7883,-2.928
-3.5933,-0.017337,-0.10475,-8.3411
-4.8636,-0.019689,0.039692,-6.7578
3.5303,-0.018755,1.455,-22.37
14.57,-0.020318,-0.11309,-40.598
-10.093,-0.02265,-0.59295,-18.792
-12.476,-0.015803,-1.0374,10.342
-11.503,-0.009547,-2.5249,28.178
2.9105,0.00847,0.22845,-16.081
0.42352,0.006263,-2.1896,-4.0444
0.50702,0.005001,-0.62919,-3.6416
0.66182,-0.018304,-1.7931,-0.39715
-1.2348,-0.018219,4.1639,0.82229
