MonthlyRes_Mean_RN_ERA_Residuals,MonthlyRes_Mean_SM_GLEAM_Residuals,T_CRU_Residuals,P_CRU_Residuals
-4.5974,0.007836,1.4391,-8.1504
-3.5478,0.002365,0.66201,58.74
0.96705,-0.001941,0.093261,-7.2775
1.1208,-0.017064,2.9613,-22.646
-0.80343,-0.022898,-1.2352,-11.973
3.5655,0.015071,-2.5672,-2.2997
3.0434,0.009178,1.262,-9.4754
-1.1127,-0.001046,0.73979,-17.409
1.938,0.042673,-0.86993,57.7
4.5605,0.051543,-0.16716,17.37
7.4374,0.038567,0.46201,-16.735
3.1002,0.028852,1.5224,-11.906
2.0425,-0.00971,0.84999,-1.7512
3.1331,-0.006058,-2.7708,9.7231
2.8977,0.006661,-0.91806,22.715
0.000245,-0.004823,0.006241,-8.6519
1.6894,-0.013834,-2.2646,1.346
-0.96078,-0.025334,-0.096537,-16.248
-2.8604,-0.036928,2.7569,-20.8
-1.5967,-0.039048,0.079157,12.463
1.1015,-0.012115,-1.9528,15.773
1.6062,-0.022804,-0.30001,-10.806
0.66401,0.003618,-0.39584,7.6634
2.0026,-0.010555,2.1396,-12.382
-0.40278,-0.004092,0.71714,18.797
-8.0476,0.000745,2.5463,12.822
-4.9202,-0.000162,0.77408,-8.7117
-1.7991,0.006277,-1.2016,3.9716
0.53033,-0.009085,0.37755,-14.73
3.0903,-0.008164,-1.9544,-3.7242
2.6253,-0.020555,0.39908,-17.851
1.9861,-0.034286,-0.1037,-2.2881
1.7753,-0.031815,-1.1356,-1.3534
3.0144,-0.049066,-0.75786,-25.258
-0.44979,-0.054371,2.3463,-5.9881
1.4693,-0.032628,-0.01828,0.36608
-0.74204,0.003565,1.2343,5.6708
-6.1565,0.008369,-1.1616,19.67
-9.0542,0.026277,-0.058772,34.587
-1.3031,-0.009105,0.64053,-19.33
3.1679,-0.019225,0.4947,-18.232
-0.65346,-0.029899,0.41276,-1.0507
0.42803,-0.029678,-0.85877,-18.503
1.3892,-0.047559,1.5884,-29.265
-1.6689,-0.052319,1.9315,4.1201
1.0029,-0.033333,-0.26572,-9.409
-1.6949,-0.019319,1.9384,10.135
-2.198,0.019337,1.4489,11.065
3.6381,0.034195,0.35143,18.769
3.3461,0.018248,-0.8444,-2.3564
2.2791,0.010383,-1.1416,-14.19
8.8055,0.02056,-0.067321,-18.656
3.1328,0.002382,0.66185,-11.883
-2.1068,0.041967,-2.0701,35.623
-0.072786,0.024617,-0.26663,9.4457
0.64721,0.042079,-0.8194,32.284
3.5358,0.020498,-0.076348,-22.656
-2.8858,0.010105,-0.77357,2.2395
-2.196,0.00901,-1.2194,-14.616
-6.465,0.014835,-1.584,17.988
2.6578,-0.005879,-0.68142,-6.6072
-2.4275,-0.004715,0.84774,-2.7079
9.5292,-0.009153,-2.0495,-16.716
3.6081,-0.006594,0.22483,-11.133
0.81541,-0.004356,2.229,14.94
-0.077555,-0.020327,1.722,-6.4787
2.8365,-0.034506,-0.57448,-21.306
-0.58571,-0.026943,-0.52726,9.5574
3.139,-0.040719,1.2158,-22.733
-2.9139,-0.042438,0.94358,21.013
-0.59054,-0.017124,-0.42726,-4.3926
2.4559,-0.015512,0.65816,-6.0384
-0.47479,0.009525,-2.7893,8.9163
3.3671,-0.002031,0.28989,-8.8344
1.5592,-0.007057,0.017666,-13.093
-4.5804,-0.007778,0.76697,8.7406
-4.8881,-0.014674,-0.82886,-5.7114
0.098301,-0.023813,0.81419,-9.7052
3.7667,-0.037284,-0.90733,-20.607
-2.7184,-0.053367,-0.73511,-10.819
-7.2791,-0.068427,0.032944,49.241
-0.81425,-0.044333,-2.1143,-0.81353
2.3496,-0.025208,-2.2351,-11.269
1.4997,-0.008209,-0.24969,-2.2899
-0.18737,-0.010576,1.0029,-0.71017
-0.94908,-0.006795,-1.468,3.5891
0.029236,0.006201,1.0848,-7.7192
-1.4834,-0.006254,-0.66588,16.714
9.0804,-0.00896,-0.26172,-23.613
-6.4832,-0.022727,-0.39366,-18.107
-5.5208,-0.028238,0.70981,-10.109
3.5055,-0.027312,-2.068,-12.421
-2.7413,-0.032295,0.72509,8.6891
-4.5583,-0.045061,0.90287,-14.59
1.9779,-0.0326,0.007035,-5.6956
-2.0933,-0.02574,1.4675,-12.166
-0.84721,0.008568,0.62001,-5.4367
1.9996,0.003213,-1.6758,11.563
0.022425,0.018192,-2.048,16.854
6.238,-0.004647,-0.94874,-18.987
4.2491,-0.012591,0.35543,-23.689
-8.0146,-0.012216,0.87349,-16.908
-4.4622,0.027124,0.80196,7.3147
-5.2892,0.059279,-0.25082,49.903
1.2235,0.049844,1.4422,-6.6374
2.4367,0.045459,0.59501,2.5085
-0.71135,0.045303,0.39918,7.8529
0.21559,0.015633,0.4596,-11.668
-0.4147,-0.009674,-2.1628,-6.8382
0.7501,-0.008155,0.41633,-10.289
2.7191,-0.009479,0.3691,-15.222
3.6912,0.026569,-1.2816,1.0861
-6.0584,0.004988,0.69758,18.634
7.0422,-0.002731,-0.20937,-17.885
-3.4063,0.002597,-0.2559,12.138
-3.6741,0.017738,-0.25867,39.701
0.97577,0.031066,-1.4156,0.31114
2.2466,0.015651,-1.2128,-16.043
2.0958,-0.008447,-0.60867,-22.949
3.207,-0.024177,0.62674,-13.169
0.042549,0.012084,-1.2957,6.0103
4.4656,0.003219,0.28347,-7.9154
1.6054,-0.002993,0.31125,-14.474
-9.7318,0.002647,-1.3894,20.235
-1.4686,0.028704,-2.1603,5.7076
-3.191,0.00828,0.70778,4.6638
2.3504,0.023141,-0.66375,4.6867
0.16158,0.022997,0.58347,-16.575
1.8082,0.016525,-1.4985,-22.565
-0.42401,0.017719,-0.79569,5.3555
-7.5705,0.028173,-1.0665,6.2749
0.67101,0.012206,0.21889,-11.896
-0.63254,-0.013092,2.3465,-7.0412
1.7533,-0.011132,-1.9494,-0.56686
-2.023,-0.007163,0.4284,5.1748
0.61271,-0.008546,0.2277,-11.267
3.9833,-0.018783,2.5319,-23.994
0.72366,-0.029741,0.89993,-21.963
-3.9122,-0.030243,0.6784,-13.49
-3.3018,0.009296,1.7256,-7.5266
-5.9159,0.017944,0.84368,5.9331
-3.3959,0.023393,0.69645,25.404
-1.3626,0.006325,0.42562,-16.302
-0.59594,0.006585,0.23604,-7.8224
-0.88508,0.087052,-1.1614,3.6823
-3.4786,0.045032,-2.0572,-9.9684
3.5191,0.026386,-0.95446,-14.027
-3.3982,0.003599,-0.55515,-18.068
-3.9393,0.011709,-0.47598,-12.47
-1.4696,0.052279,-0.15793,55.461
1.5448,0.099002,-0.67946,54.784
3.8957,0.060431,-1.3572,-4.7781
-1.4527,0.046469,0.56082,34.782
3.8056,0.035575,1.1636,-24.648
-6.1126,0.053074,-0.95723,34.922
-8.9242,0.075321,-2.6468,30.226
1.0218,0.02463,-1.9443,-6.5942
-10.165,0.012228,0.58491,7.5801
3.6428,0.002111,-0.08731,-14.053
0.0188,0.002419,1.087,-20.945
4.9967,-0.009025,-0.58384,-21.047
-0.38508,-0.016966,-1.0408,-12.541
-3.7565,-0.001605,0.96269,5.7072
0.13796,0.010475,-1.1651,23.57
-2.3652,0.034196,-1.322,29.93
0.24567,0.022683,-0.46925,-12.349
-1.2188,0.025824,-0.74009,13.22
-0.30487,0.02747,-0.95467,-4.5754
-0.18666,-0.014487,0.22289,-6.3457
1.0263,-0.015995,0.72706,-13.246
-0.071307,-0.012479,1.1798,15.92
5.1153,-0.009204,0.12914,-15.546
-6.0467,-0.013266,-2.4167,2.2016
0.29681,-0.00566,1.6014,-19.892
0.48356,-0.017558,1.2548,-23.594
1.2999,-0.024312,1.6521,-10.006
0.13405,0.004729,0.17011,-14.146
2.1812,-0.006157,1.5979,-24.726
-0.18837,-0.019025,1.7271,15.344
2.1848,-0.010195,1.7875,-8.3769
2.371,0.012277,0.19004,-6.3972
-0.50073,0.008061,-0.8308,-4.8979
1.3321,0.012312,-1.228,30.169
0.84323,-0.008196,0.67129,-12.298
-12.831,0.014698,-1.2245,74.3
1.031,0.070093,-1.2815,-10.994
0.30979,0.043682,-1.828,47.804
5.7541,0.058276,-1.6808,-9.1576
0.90655,0.045024,-0.93774,8.6771
-1.0609,0.047944,0.46504,36.598
5.4257,0.020146,0.9442,-22.533
-2.7294,0.007957,1.2546,-4.6284
-0.39368,0.01795,0.53218,-2.9487
-2.8113,0.013965,0.88635,6.1256
3.6532,0.004909,-0.98587,-11.033
5.7047,-0.000133,-0.38657,-20.874
-3.7651,-0.002748,1.9426,-4.4264
1.8798,-0.01635,-0.31434,-19.57
1.4748,0.016479,-0.51087,39.603
-1.2698,0.005162,0.98635,-28.459
-0.85399,0.008414,1.1044,41.426
-6.1089,0.032684,0.98218,68.646
-3.947,0.055467,-0.61365,11.566
-0.63927,0.019039,-0.27823,10.37
0.25462,-0.006353,0.24933,-5.0502
1.722,0.006182,-0.8465,-8.1759
