max_5consec_Ix5dayRN_ERA,max_5consec_Sx5daySM_GLEAM,T_CRU_Residuals,monthly_Rx1day_P_CPCU
40.709,0.37733,1.2418,15.05
201.72,0.35729,1.2883,27.606
87.979,0.38332,-2.177,3.3344
130.72,0.38841,-1.4499,10.059
186.09,0.39783,1.1217,16.83
107.1,0.37474,-0.097091,34.23
55.672,0.37402,2.8904,2.3806
30.613,0.3767,1.7078,5.855
236.71,0.40262,1.1258,33.853
232.53,0.36195,2.8265,18.482
202.64,0.38936,2.1105,39.674
169.84,0.38827,1.6953,8.0363
113.16,0.38446,-0.60915,25.288
54.235,0.40363,2.2533,22.401
26.723,0.41156,-0.55429,4.455
50.113,0.37336,2.8297,5.7969
89.731,0.37715,2.261,4.9106
128.98,0.36975,2.0381,7.9613
183.12,0.3588,4.4346,12.953
204.5,0.38087,-0.77373,39.742
218.58,0.36194,1.3888,23.662
216.65,0.36139,0.66446,15.038
194.82,0.36862,-0.70151,23.532
174.54,0.37597,0.35821,22.392
100.21,0.41595,1.2038,9.675
56.911,0.41948,-0.38371,35.853
29.344,0.42072,2.5836,25.545
19.584,0.41262,-5.8823,19.069
87.269,0.4153,-1.5761,3.3819
147.16,0.41601,-1.424,42.438
187.48,0.41292,-1.4025,18.798
175.81,0.42018,0.9142,31.535
205.76,0.41814,-2.6483,39.776
224.43,0.41446,0.6524,26.346
213.21,0.39658,-0.68857,27.735
165.64,0.41277,-0.55385,35.057
104.18,0.38479,0.41673,30.693
43.141,0.42059,0.65423,23.824
4.7623,0.42058,-8.9534,9.03
26.165,0.42081,2.2556,8.0913
93.187,0.42154,2.5619,7.3888
122.72,0.42287,-0.06105,23.814
174.09,0.42328,-3.4895,31.383
218.45,0.42332,-2.1479,13.368
228.08,0.42132,-0.33536,32.609
235.12,0.41785,1.8653,16.884
206.73,0.32751,4.3994,18.101
162.24,0.32188,1.4841,22.454
113.64,0.41027,1.0547,26.393
61.027,0.41319,1.5172,7.6456
30.576,0.42253,1.3845,21.233
33.415,0.42073,-0.90644,0.64188
63.264,0.42093,4.3748,8.9688
116.66,0.42172,-3.8231,11.358
189.72,0.42367,-1.7516,34.042
213.8,0.42417,-1.4599,27.384
230.57,0.4256,0.77758,28.46
221.29,0.38956,-0.17172,16.651
199.28,0.34728,1.6373,13.401
152.61,0.3164,-0.97797,19.273
90.467,0.41141,0.11761,21.056
60.089,0.41076,-5.1699,5.005
12.112,0.41256,-5.5775,2.8963
37.508,0.42233,-2.1435,3.5069
95.773,0.42254,-1.6623,13.894
134.21,0.42215,2.3648,11.382
175.25,0.41937,2.4364,15.523
211.35,0.418,1.728,18.322
221.66,0.4046,-1.5845,17.964
226.98,0.38446,-0.35878,45.05
205.75,0.36344,-1.7748,20.01
