max_5consec_Ix5dayRN_ERA,max_5consec_Sx5daySM_GLEAM,T_CRU_Residuals,monthly_Rx1day_P_CPCU
7.8656,0.47231,-4.0723,7.3955
164.22,0.4781,-2.3001,25.447
30.487,0.47283,-1.3987,4.6295
47.627,0.47406,-4.5841,7.8854
123.1,0.47644,-0.85839,6.9777
52.163,0.45621,-0.0945,6.6436
13.611,0.47046,0.53467,23.121
5.8226,0.4745,4.6291,13.556
170.43,0.47622,0.15758,20.148
170.03,0.45377,0.18189,16.844
131.1,0.42749,-2.1271,15.0
104.57,0.44613,0.29578,19.901
59.441,0.41134,3.0506,18.685
16.694,0.46701,0.97979,19.394
4.4225,0.47341,4.3492,14.405
10.997,0.47648,3.1978,17.069
12.735,0.4799,3.7465,17.181
80.459,0.48633,-0.33896,15.341
126.01,0.48684,-2.9633,11.25
158.4,0.48506,0.17006,5.5875
169.11,0.42309,3.3777,6.6465
162.64,0.39514,2.277,17.747
126.3,0.36033,2.018,14.412
95.864,0.36042,1.1159,8.3724
53.994,0.4236,-0.25426,21.091
18.236,0.44074,1.3999,12.412
8.3876,0.46144,4.9694,10.254
6.5895,0.47684,1.493,8.0226
28.721,0.47689,-1.8084,5.4712
74.414,0.47739,0.18116,8.1712
121.77,0.47747,-0.11815,13.248
167.47,0.47352,-0.28482,13.44
174.12,0.46992,-2.1272,23.555
152.03,0.47484,-1.0029,29.913
130.18,0.43447,0.2381,6.8379
105.08,0.39211,1.611,7.6834
46.183,0.36056,1.3159,9.2688
21.386,0.38135,-0.22997,3.0559
6.0936,0.39938,2.0645,6.9664
5.6028,0.46513,3.1381,3.9218
26.471,0.46774,4.5617,5.9835
91.049,0.46907,1.2763,9.4433
119.74,0.46164,4.952,6.4089
165.9,0.46379,2.1853,15.911
163.24,0.40682,-1.1321,12.312
160.48,0.38425,-0.032751,26.218
137.09,0.38345,-1.2918,3.9691
104.34,0.35115,1.2811,1.129
57.436,0.35267,1.286,17.619
23.56,0.38008,-0.48485,9.282
3.7525,0.40199,-4.4904,9.0231
5.8341,0.41499,3.2582,11.673
33.267,0.41499,-4.2932,0.44968
67.253,0.4254,-0.1036,7.9179
117.35,0.4252,0.22209,4.0648
141.09,0.40317,4.8554,7.1062
172.91,0.34968,0.48806,1.6564
154.93,0.31645,0.73737,14.855
122.3,0.32536,-1.3717,11.894
99.931,0.32187,2.4513,5.9762
58.336,0.43659,-0.6439,7.7252
19.041,0.4481,-0.73973,28.17
7.0913,0.45044,-0.19529,6.5909
5.2329,0.42808,-0.82168,9.2839
21.625,0.43146,-5.1231,15.199
85.386,0.44984,-4.5085,7.1172
126.37,0.45095,-0.48279,5.1909
166.11,0.42756,2.7005,15.987
161.94,0.41241,-0.31682,24.224
153.38,0.41689,-1.7175,16.826
137.37,0.40072,3.0735,7.9117
97.484,0.43492,-1.0286,27.193
46.687,0.37073,-0.42378,18.175
18.94,0.39665,-1.7196,9.7568
4.7157,0.4207,-0.95017,7.1289
2.6861,0.45725,2.5734,15.082
19.869,0.45978,-5.7529,14.384
87.966,0.45989,0.16164,0.9333
122.03,0.45954,4.3623,3.939
161.97,0.42628,-0.029335,7.5439
166.78,0.37891,2.1283,6.8035
169.62,0.34598,-0.44739,7.9639
138.17,0.31306,2.1436,3.3035
99.202,0.34516,-0.5835,19.283
