max_5consec_Ix5dayRN_ERA,max_5consec_Sx5daySM_GLEAM,T_CRU_Residuals,monthly_Rx1day_P_CPCU
13.959,0.14832,-0.94238,10.038
233.3,0.15383,4.193,4.4906
46.787,0.14955,-0.90419,8.8675
85.033,0.16263,-3.3097,3.6958
158.12,0.16409,4.7153,4.6788
73.714,0.14343,-0.97363,17.232
11.721,0.14503,2.1736,6.7723
6.4491,0.14776,-2.6472,6.9257
230.89,0.12184,-0.22919,15.383
215.59,0.11834,0.67776,9.7772
177.37,0.12131,-0.47294,13.102
129.27,0.1383,-1.2674,24.678
71.802,0.14419,0.064902,13.732
16.862,0.14494,5.7371,3.8759
2.4094,0.14657,1.1913,4.9638
9.2745,0.14777,3.6462,2.18
36.683,0.14828,3.7843,5.2035
74.057,0.15072,4.4288,4.7619
147.2,0.14975,-0.97121,3.9866
221.79,0.14203,0.53157,5.0052
234.93,0.13156,0.059346,15.686
230.37,0.12493,1.6163,6.6923
186.1,0.12207,2.4656,31.045
142.01,0.13081,0.14615,26.06
59.411,0.14547,1.8284,11.979
17.659,0.14815,-2.1493,11.5
4.182,0.15217,1.5548,13.845
11.912,0.14797,-7.5403,4.6042
37.365,0.14797,-2.0521,8.5391
76.746,0.15028,-1.8577,11.435
140.98,0.16327,-1.8327,6.603
220.18,0.15834,2.1451,12.759
229.32,0.14407,-2.3771,14.558
220.77,0.14655,0.42982,25.007
193.33,0.14249,-1.4959,16.312
140.14,0.13549,0.38468,15.899
66.833,0.12792,2.042,6.2352
23.022,0.14018,4.6392,10.74
2.5619,0.14105,-5.1316,5.0868
13.336,0.15303,3.3982,3.1741
36.149,0.15304,2.2614,3.5965
80.526,0.15423,1.1559,10.139
128.23,0.16156,-0.99415,2.0415
204.23,0.15972,-3.9664,8.5479
221.4,0.14541,0.53641,38.104
222.14,0.14138,2.2684,9.87
200.21,0.11887,3.9427,13.322
142.42,0.1195,1.0232,10.668
73.311,0.13946,1.3055,19.852
14.348,0.1467,-0.62228,10.407
3.852,0.14672,-3.9181,3.1392
14.397,0.14122,-0.73825,2.7638
40.056,0.14192,6.1249,3.513
90.52,0.14506,-1.1056,5.6079
133.38,0.15164,4.1194,18.149
229.75,0.14803,-1.2028,5.9032
238.37,0.12754,0.99994,11.782
236.09,0.11952,0.83189,4.164
197.62,0.10457,2.7812,9.2394
121.22,0.1185,-1.9133,14.797
72.03,0.13604,0.34403,6.8757
15.211,0.13915,-5.7587,8.354
5.3981,0.14,-2.8046,14.878
11.361,0.14672,-0.024721,5.0864
39.613,0.14672,-3.3365,4.9578
88.522,0.1507,2.6329,2.7521
135.56,0.15424,1.7079,4.0697
222.56,0.14826,1.8107,9.9997
207.42,0.13427,-2.4365,22.893
225.33,0.13335,-1.2796,6.8941
185.14,0.13224,-1.8053,23.131
132.33,0.13663,-1.7497,8.8599
69.14,0.10205,-0.26744,14.133
18.767,0.10802,-5.8452,8.3494
3.2608,0.10939,4.5589,2.623
13.64,0.14138,2.7638,2.9601
39.522,0.14151,0.102,3.4294
74.765,0.14179,1.9214,7.6445
105.94,0.14442,0.67145,4.8676
234.72,0.14125,2.6242,7.0403
237.07,0.11515,-1.048,3.0527
215.72,0.10123,-0.46605,6.3039
182.5,0.098127,-0.59175,7.8429
144.29,0.099,-1.4862,8.1169
75.202,0.10365,-0.57891,5.03
24.121,0.10432,3.5683,2.9794
3.2206,0.10604,5.6975,1.5297
12.515,0.10939,4.3273,0.50977
30.447,0.10939,6.7405,8.0807
85.437,0.11147,2.735,2.059
150.48,0.11215,4.485,2.5491
210.38,0.1055,2.8128,15.418
238.49,0.099819,2.1905,4.7915
