MonthlyRes_Mean_RN_ERA_Residuals,MonthlyRes_Mean_SM_GLEAM_Residuals,T_CRU_Residuals,P_CRU_Residuals
1.8392,0.001354,0.1328,26.733
-2.2002,-0.015197,1.3467,-8.2207
6.1203,-0.022039,0.97794,-21.919
2.7095,-0.027258,1.3134,-28.649
-3.5648,-0.016904,2.1821,-5.054
-0.18741,-0.004915,0.8203,-1.1012
-2.8238,-0.015459,1.8772,-23.915
1.6177,-0.021253,0.51891,-27.835
0.088655,-0.016515,1.0495,-10.024
-2.3933,-0.012727,-0.040808,-6.2471
-1.4874,-0.000369,0.61475,-2.079
-0.93968,-0.003123,1.0488,-7.7811
-1.3202,-0.009913,-1.394,-17.5
-4.5648,0.009728,-0.9121,45.436
1.3499,0.015095,1.0046,12.342
-0.92381,-0.003503,-0.88154,28.234
12.652,0.019248,-0.18641,-13.793
-3.88,0.001645,-1.651,-29.148
0.015054,-0.012546,1.7178,-17.053
-2.3184,-0.017509,0.43234,-4.7194
-2.1061,-0.003295,0.98512,-7.7979
-1.9915,0.001108,0.74484,-6.5708
-0.95953,-0.000498,1.8504,-6.7777
-0.16774,-0.002428,0.38443,-4.5548
-1.0069,-0.000716,-2.4084,-18.799
0.55126,-0.013436,-0.076447,-26.863
-4.5291,-0.017665,1.0652,-6.482
3.9382,-0.013848,1.3041,-34.29
-1.2563,0.066506,-0.67575,88.108
0.068869,0.085382,-1.7653,48.703
5.1758,0.071401,-1.2716,-15.551
1.8767,0.027798,-0.682,-21.093
0.72729,0.008964,-1.7292,-11.772
0.22749,-0.001717,-1.3945,-15.244
0.54032,0.004155,0.38605,-6.5014
1.2047,0.007954,-2.3549,4.2215
-1.5303,0.028161,-0.27274,4.5276
-2.2684,0.031951,0.78421,-1.4863
5.8037,0.036175,-0.17413,22.594
-1.5124,-0.01669,-1.0602,-37.263
-9.1057,-0.035818,3.2349,-41.29
-4.7736,0.076874,0.62032,166.4
-4.1229,0.1354,-2.9109,69.775
5.7238,0.10615,-1.1964,-20.667
3.1975,0.057677,-0.86857,-11.645
2.2019,0.034162,-2.2339,-15.118
-0.25196,0.04381,0.22171,5.3498
-1.1517,0.035342,1.0557,-7.2522
0.52504,0.027603,-0.83709,-2.5461
3.5533,7.8e-05,0.094858,-25.785
2.9752,0.00051,0.58652,30.096
5.3699,0.083572,-3.3246,155.41
5.4878,0.054229,-0.85445,-39.714
2.6327,0.014958,-1.194,-7.319
4.3331,0.002651,-0.57528,-12.224
-0.47963,-0.010428,0.7393,-20.891
-0.1701,-0.026247,-0.68292,-11.694
-0.31717,-0.009478,-1.6232,2.9581
-1.4536,0.016381,0.057358,0.25114
1.9456,0.026499,-3.3586,8.1991
-6.7491,-0.017096,-0.77643,6.7302
7.075,-0.019151,0.30551,9.1413
2.7978,-0.030954,1.1722,-30.778
0.060343,-0.022223,0.11107,-52.436
-1.0897,-0.034417,1.3312,-7.3628
-4.7645,-0.032593,1.2166,-28.918
-6.2186,-0.032343,-1.1646,-15.873
-0.34823,-0.039203,-0.10005,-20.339
0.007853,-0.043464,-1.8723,9.3323
-0.20092,-0.052524,0.087455,-14.841
-2.7404,-0.038849,1.743,-5.5726
3.5146,-0.026405,-2.798,-2.9497
3.6991,0.047446,-0.59078,32.006
