max_5consec_Ix5dayRN_ERA,max_5consec_Sx5daySM_GLEAM,T_CRU_Residuals,monthly_Rx1day_P_CPCU
234.43,0.27581,0.063928,10.041
109.2,0.31821,1.9028,37.894
219.25,0.2519,1.0146,27.324
174.7,0.28927,2.3105,46.668
125.71,0.2932,2.4341,28.798
185.18,0.30912,-1.1215,23.981
217.01,0.30844,-1.4784,27.213
229.4,0.30203,-0.28885,23.229
79.949,0.31601,-0.38885,17.358
92.703,0.31334,-1.1979,4.1885
127.1,0.30936,-0.30135,21.417
159.0,0.30782,-1.7819,35.767
191.49,0.35392,-0.85321,58.821
208.52,0.371,0.18984,43.534
225.56,0.36878,-0.020573,28.576
205.96,0.32664,-0.96779,47.401
183.84,0.37445,0.3579,90.968
178.18,0.37826,-1.0713,46.425
140.07,0.3775,-0.097656,28.751
107.61,0.38591,3.9461,68.899
77.851,0.38663,-1.7456,26.608
95.274,0.38482,-0.0546,13.33
121.28,0.38331,1.4169,26.576
151.35,0.37675,-1.2886,21.506
189.95,0.34985,-0.73493,48.695
207.05,0.36836,-1.0419,56.889
233.48,0.37896,-0.1523,44.668
226.14,0.34745,-0.34952,55.993
197.41,0.33441,-0.82382,24.342
177.75,0.31636,0.09701,20.063
153.5,0.31253,1.2206,32.42
100.68,0.31078,1.4394,10.578
82.231,0.35464,0.7227,76.409
79.404,0.3502,1.7137,3.1182
124.04,0.34836,1.7352,14.75
155.6,0.35374,2.1296,42.732
194.26,0.37767,0.35834,46.546
229.24,0.38359,-0.5736,30.827
231.88,0.36137,1.591,68.71
229.44,0.38145,0.56876,73.59
218.3,0.38396,0.21945,38.788
194.67,0.38675,-0.53471,60.211
149.66,0.3881,-0.1611,65.105
80.698,0.38875,0.18265,27.688
76.019,0.38541,-2.484,75.143
83.433,0.38836,-1.568,11.688
128.53,0.38436,-1.1465,7.0469
156.81,0.36292,-1.5521,17.772
198.61,0.38583,1.2766,43.2
229.83,0.38872,-0.43032,44.766
229.46,0.36917,-2.2407,24.745
216.26,0.38713,0.76204,114.24
211.43,0.38881,1.2127,53.731
179.91,0.38645,-0.19144,46.518
149.3,0.38876,-1.7178,64.175
104.01,0.38383,1.9509,8.4267
78.302,0.38598,-2.5157,14.743
94.645,0.38722,0.45023,39.7
131.72,0.36896,-2.7282,5.6459
170.95,0.37786,-0.4588,31.308
191.79,0.38673,0.3699,45.938
222.03,0.38423,2.163,33.283
227.38,0.33836,1.5775,14.989
232.36,0.33874,-0.14469,13.232
185.65,0.38603,0.056008,81.56
198.09,0.38742,0.10184,127.33
135.38,0.38798,0.025452,53.111
110.86,0.38788,2.0192,31.749
80.809,0.38697,1.3775,17.615
86.428,0.38595,0.21851,19.467
118.47,0.38866,-0.98496,25.625
153.71,0.38556,-0.64052,48.267
201.91,0.38715,-0.53683,50.758
222.45,0.38877,0.10623,35.157
240.6,0.38734,-0.004188,41.039
216.75,0.29478,1.5236,25.896
216.76,0.3292,0.34928,69.385
181.4,0.37284,-1.3049,70.934
124.69,0.38888,1.5687,100.62
118.3,0.38834,1.0375,85.592
83.16,0.38883,3.2958,80.405
94.067,0.38854,1.5118,40.373
120.68,0.37947,0.80831,4.8948
150.43,0.38743,0.55276,59.733
205.73,0.37369,-0.46855,44.765
226.64,0.38147,0.099506,30.784
235.01,0.34763,-1.1109,38.157
226.4,0.38751,-0.033133,88.259
222.89,0.37139,-0.28244,48.423
201.92,0.38684,0.3634,87.046
149.5,0.38849,0.28701,61.961
99.576,0.38731,-3.2442,10.594
80.543,0.37755,-0.46091,4.2238
87.6,0.38531,3.1051,33.085
125.61,0.3854,-1.3484,13.579
166.34,0.37463,-1.279,40.138
191.87,0.33017,-1.1253,26.136
218.89,0.30599,1.0178,42.888
230.26,0.28494,1.3324,34.215
232.57,0.37119,-0.26486,127.54
225.96,0.36562,-0.66416,39.841
192.97,0.37301,2.7567,73.3
143.74,0.37163,-1.0947,17.176
97.6,0.35382,-3.901,6.0967
74.906,0.34078,-2.2426,6.0239
90.27,0.34071,-1.4767,15.368
126.51,0.34063,0.66987,4.8427
169.71,0.33655,-0.63569,28.405
188.64,0.38119,-0.882,99.642
215.89,0.38076,-0.26394,29.096
224.02,0.35935,0.92564,34.066
219.13,0.29746,1.2034,49.02
209.63,0.2863,2.0291,52.252
184.47,0.34002,-1.0251,53.331
136.33,0.36808,-0.15144,68.584
99.738,0.36669,-0.18269,11.131
71.832,0.36666,0.40064,19.946
87.345,0.36671,-0.98338,18.077
129.39,0.36576,0.73814,20.396
166.08,0.35677,-1.6174,12.268
178.22,0.38802,1.2863,101.86
217.54,0.3874,1.4793,55.13
235.62,0.38716,-0.93108,65.06
236.6,0.35487,0.096698,23.277
208.4,0.3801,-0.50261,43.598
198.31,0.38295,-0.23177,47.794
121.1,0.38782,0.71684,69.539
111.91,0.38543,-0.68941,19.211
80.282,0.38578,-2.1561,11.16
93.977,0.38675,-1.9651,21.995
117.69,0.37153,1.7564,10.539
162.69,0.3689,-1.3241,17.672
192.32,0.35825,-1.2204,19.834
211.08,0.35933,-1.2524,44.169
224.59,0.37766,-0.2128,45.264
225.81,0.38282,-1.21,38.226
219.9,0.36008,-0.00933,25.534
184.84,0.3155,1.7615,9.1628
146.56,0.32999,1.1351,28.881
105.03,0.36235,2.3039,31.154
82.05,0.36947,1.1372,33.734
97.14,0.36779,0.25317,16.574
112.93,0.3615,0.7997,19.069
152.99,0.36158,1.8941,30.235
183.39,0.38273,-0.62716,42.023
217.49,0.3857,-1.1591,46.74
232.53,0.38711,-0.21953,97.911
228.57,0.3808,-0.79175,11.154
202.28,0.38177,0.40895,97.867
192.0,0.38136,-0.29522,27.128
157.59,0.3887,-0.19661,80.929
93.297,0.3885,0.57214,33.259
78.416,0.38777,3.0055,22.358
89.179,0.38665,-2.5786,23.36
112.31,0.37567,-0.63203,21.249
170.46,0.3709,-0.81258,21.328
205.01,0.37263,0.69111,90.513
224.28,0.38502,-0.54083,63.119
227.67,0.38645,-0.60125,56.058
236.44,0.38787,0.22653,44.031
220.41,0.38319,-1.3978,18.668
182.08,0.38569,0.47306,69.763
147.35,0.3858,1.8217,55.606
95.784,0.38484,0.31542,25.587
80.917,0.37333,0.67375,10.67
89.099,0.35613,-0.96028,2.63
126.53,0.3372,0.26125,3.3474
139.18,0.3104,-0.8943,14.943
181.64,0.35079,0.48439,30.135
228.58,0.36384,-0.29755,30.086
234.87,0.36054,2.267,15.987
231.67,0.37962,-0.30519,63.869
192.04,0.38699,-1.2795,77.33
200.31,0.38741,-0.85867,61.166
145.53,0.38729,0.63995,68.464
108.29,0.38675,2.8587,30.993
76.69,0.38653,2.267,10.374
90.581,0.37628,1.158,18.138
113.89,0.37652,0.17953,17.588
162.14,0.36813,3.049,12.808
192.03,0.27219,-0.84733,16.539
220.58,0.26521,1.7457,42.462
233.07,0.27296,0.36031,16.626
209.82,0.30922,-0.28692,20.875
221.85,0.36274,-1.7112,50.677
188.58,0.37467,-0.61539,46.781
156.07,0.37275,-0.96678,46.535
102.38,0.37732,-1.373,29.17
82.723,0.35144,0.56031,1.4528
88.052,0.3313,0.90128,2.8894
130.02,0.317,-0.10219,4.2377
158.9,0.29015,0.54225,8.578
205.09,0.3613,-0.62906,62.107
224.88,0.37885,0.264,70.596
220.98,0.38021,-0.52142,30.128
218.72,0.27043,0.031361,26.415
198.66,0.34423,-0.71794,96.415
180.59,0.36421,-0.12211,82.416
127.81,0.37795,1.2765,63.257
110.7,0.37448,0.59525,27.026
81.977,0.3601,-3.6464,0.54073
87.938,0.3355,-2.2054,0.77243
106.28,0.30791,1.8911,7.1819
141.68,0.31438,-0.38947,29.687
184.48,0.35708,0.18922,38.835
205.88,0.37395,0.65728,49.611
236.77,0.38611,0.42186,69.662
234.29,0.36036,1.2496,34.432
201.51,0.37502,-0.42467,66.629
191.66,0.36953,-0.87883,25.482
150.23,0.3384,-0.055223,20.016
107.08,0.33377,1.2385,19.669
76.829,0.34646,-0.10314,21.986
97.053,0.34654,2.9128,22.622
128.2,0.33261,1.7094,15.396
145.39,0.30812,1.7538,23.018
202.76,0.35292,-0.1925,17.879
221.77,0.34941,0.050554,45.398
236.88,0.3419,-1.2599,40.186
234.36,0.38864,-0.75709,63.141
209.85,0.38768,-0.90639,28.609
202.28,0.38867,-1.9356,76.181
155.72,0.38863,-0.88695,108.45
107.47,0.38624,-0.3182,44.461
83.425,0.38823,0.24014,73.795
84.643,0.38622,1.7811,20.44
134.7,0.37644,-0.92236,9.4857
169.35,0.37086,-1.3529,13.641
188.24,0.28545,-0.44922,13.072
210.79,0.27678,-0.98117,14.658
220.41,0.27028,0.008414,30.081
228.8,0.32928,-1.8388,20.126
216.74,0.37196,0.11189,67.324
186.11,0.36812,1.0827,64.372
129.16,0.37707,-1.8937,13.696
117.72,0.36828,-1.3999,14.981
79.508,0.3493,-0.94159,30.661
93.724,0.3614,-1.4006,25.524
129.83,0.35174,0.22091,2.561
156.73,0.31306,1.9904,7.3861
200.53,0.31048,0.76905,20.004
219.3,0.34483,-1.4129,30.212
224.51,0.34209,-0.99831,18.909
232.86,0.32244,-0.47053,20.564
225.91,0.3297,-0.31984,25.346
181.4,0.3453,-0.849,39.16
143.42,0.35886,-1.6254,26.881
102.7,0.35969,-0.83164,15.952
81.425,0.34778,0.62669,4.3061
96.5,0.34189,-3.7073,6.7775
126.71,0.33086,-0.035809,17.112
164.93,0.30364,0.13364,7.7344
202.77,0.36371,-0.062671,42.984
219.82,0.37488,-0.11962,75.68
235.05,0.36506,-0.43003,31.534
239.74,0.34884,-0.45225,31.171
207.12,0.34679,1.9484,17.863
196.0,0.35618,1.4693,68.76
146.35,0.3583,0.54288,24.532
96.379,0.35765,-1.4634,5.3156
78.854,0.36889,0.61997,44.77
98.66,0.366,1.6359,5.8813
129.61,0.34513,2.6325,16.705
154.74,0.3551,-0.49809,9.8978
193.25,0.3874,1.1556,57.905
214.07,0.38774,-0.051338,104.41
239.39,0.38858,-0.63675,58.096
225.37,0.32043,-0.83398,17.953
215.62,0.29934,-0.58328,30.799
178.59,0.33759,1.9876,42.42
154.77,0.38734,-0.43884,107.37
103.22,0.388,1.9299,29.68
80.221,0.38565,-1.0868,7.2194
91.7,0.38865,-1.0958,37.473
131.42,0.38357,-0.024255,8.9834
166.77,0.38284,-0.35481,49.075
193.84,0.37466,0.89888,56.876
222.93,0.37375,-0.083061,45.851
216.51,0.38632,-1.7935,51.233
234.16,0.38241,0.0093,31.322
223.38,0.37003,0.009994,28.164
181.8,0.38793,-0.54417,56.507
140.99,0.38801,-0.42056,76.157
106.33,0.38766,0.19819,30.394
79.115,0.38636,3.4815,17.003
88.865,0.3653,-0.10251,6.6243
119.08,0.36285,-2.006,33.034
152.26,0.3329,1.0135,17.995
200.47,0.34458,-0.53284,40.825
216.4,0.37231,-0.96478,58.254
234.65,0.38838,-0.3752,99.47
240.79,0.37551,0.37758,12.668
215.19,0.35701,-0.92173,39.632
178.17,0.34106,0.1741,40.49
139.23,0.3827,1.3727,124.23
94.979,0.38252,-3.3085,16.109
76.658,0.36439,1.1998,12.833
81.467,0.36193,0.69077,3.4488
129.66,0.34498,-0.6127,14.037
148.6,0.33019,1.2067,26.946
182.28,0.29939,-1.3396,15.914
217.05,0.29577,0.62849,35.792
237.07,0.30462,-0.93192,46.909
233.12,0.35261,0.72085,35.31
209.36,0.32375,-0.053451,35.594
195.45,0.35977,-0.38262,57.478
135.85,0.37112,-1.284,29.445
114.59,0.38436,1.0097,59.753
75.605,0.38366,3.0931,20.523
100.87,0.38159,0.50905,3.0686
130.23,0.3562,0.63058,18.773
157.58,0.33652,-2.1,5.5117
193.17,0.27857,1.7287,35.219
217.77,0.32906,-0.07823,91.377
231.86,0.32692,1.0614,35.687
233.19,0.27959,1.3391,29.125
222.37,0.27874,0.63983,34.746
180.36,0.2774,-0.28934,36.288
143.19,0.28432,0.08427,41.449
112.18,0.28288,-2.222,7.4963
76.18,0.31616,2.0864,78.319
92.284,0.3014,3.3023,1.1684
119.38,0.27468,-0.57615,3.2464
157.73,0.24858,-0.1817,9.4007
185.21,0.36198,1.247,30.845
226.93,0.36807,-1.36,41.157
221.63,0.33587,0.20463,48.623
220.61,0.34582,-0.042592,106.17
219.21,0.36073,0.8331,113.07
168.48,0.37185,0.57894,34.35
127.29,0.37678,1.3775,23.428
105.1,0.38266,-3.0787,48.834
79.655,0.35382,-1.3204,8.2399
89.478,0.34943,-3.1044,1.4793
128.57,0.3205,-3.4079,5.1813
171.72,0.3457,1.8866,19.644
185.72,0.33268,0.14027,49.737
221.69,0.3343,1.1333,43.674
221.17,0.2752,0.97291,20.101
237.79,0.32474,0.17569,20.882
219.39,0.28999,-0.07362,16.882
186.97,0.28153,0.34721,12.634
146.13,0.26649,-0.60418,24.465
96.111,0.26446,0.014574,8.8213
74.006,0.29171,-2.3521,32.9
78.557,0.28812,3.6139,5.2712
123.47,0.27435,0.085407,20.248
161.33,0.2779,-1.2201,24.067
201.34,0.26555,1.2085,30.248
206.16,0.38401,2.6016,63.938
208.12,0.38456,0.14118,33.271
216.2,0.27314,-1.181,40.668
205.31,0.33229,-0.30534,85.401
185.12,0.30707,1.0155,23.51
142.06,0.26485,1.1891,16.472
105.12,0.26751,1.3329,20.882
79.198,0.27556,-2.0838,19.929
92.226,0.2734,-2.4178,18.858
123.1,0.26422,2.0037,13.399
144.79,0.25719,-0.82687,6.6463
194.45,0.36641,-1.8232,14.349
211.17,0.32226,-0.95512,12.104
239.37,0.35546,-0.14054,49.481
222.78,0.38641,0.36224,74.55
218.56,0.38449,1.5629,36.824
194.29,0.38634,0.65877,43.085
152.82,0.37768,-0.69262,13.336
105.62,0.38627,-1.6739,64.018
83.589,0.38475,-0.26554,3.1879
89.143,0.37299,-0.82457,11.346
121.09,0.36216,-1.853,41.451
159.5,0.37413,-0.43359,22.618
191.3,0.3594,-0.6799,58.489
231.35,0.37206,0.68816,80.611
233.07,0.34814,-0.57226,20.687
231.3,0.36468,0.13052,41.428
198.86,0.38089,-0.49379,63.287
197.23,0.36933,-0.49796,10.757
147.3,0.36579,0.20066,24.343
107.54,0.37727,0.11941,26.711
76.272,0.37431,-0.39726,14.915
91.391,0.3621,-0.70629,13.634
128.87,0.35393,-1.3098,7.9382
165.36,0.31277,1.3597,16.323
